line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.400000  0.770401  3.935424  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0859  3.935424    0.000  2.002810  7.270006  7.4395825E-01  2.5397582E-01  1.4358469E-06  3.8083620E-07  4.7849422E-04  8.1173612E-04  5.9384570E-06  1.5678383E-09  2.6812712E-04  2.1686906E-05  0.000E+00  1.709E-05  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.32E+01  0.000000  0.000102  0.0000000E+00  0.0000000000E+00       4.508     1.09    2.8240    2.9096   -0.0358    0.0513    0.0464    0.1013    0.0474    0.0060    0.2102   -0.0195   -0.0051   -0.0879         0   -0.0856
  2  3.474409094357195E+07    1.400000  0.774634  3.935910  7.4708488E-01  2.5087261E-01  3.2616441E-04  3.9584440E-06  9.4108304E-05  8.1692502E-04  3.2365733E-07  1.8428200E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0843  3.935910    0.000  2.006976  7.271521  7.3554823E-01  2.6238525E-01  1.4428343E-06  3.8300291E-07  4.7903774E-04  7.9605033E-04  2.1927710E-05  5.9408810E-09  2.6812712E-04  2.1686906E-05  0.000E+00  2.582E-06  1.793E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.98E+00  0.000000  0.000103  0.0000000E+00  0.0000000000E+00       4.506     1.09    2.8134    2.8998   -0.0363    0.0504    0.0459    0.1002    0.0468    0.0060    0.2077   -0.0194   -0.0056   -0.0870         0   -0.0864
  3  6.847975513129061E+07    1.400000  0.778177  3.936150  7.4708220E-01  2.5087304E-01  3.2614902E-04  3.9705603E-06  9.4113494E-05  8.1692502E-04  3.2365795E-07  1.8428085E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0831  3.936150    0.000  2.011329  7.273128  7.2730930E-01  2.7062399E-01  1.4559843E-06  3.8632364E-07  4.8076736E-04  7.8009766E-04  3.6750326E-05  1.0009082E-08  2.6812712E-04  2.1686906E-05  0.000E+00  2.114E-06  1.775E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.63E+00  0.000000  0.000104  0.0000000E+00  0.0000000000E+00       4.504     1.10    2.8046    2.8913   -0.0366    0.0500    0.0456    0.0997    0.0465    0.0060    0.2064   -0.0194   -0.0059   -0.0865         0   -0.0868
  4  1.003831575752443E+08    1.400000  0.781558  3.936396  7.4707722E-01  2.5087494E-01  3.2604437E-04  4.0196808E-06  9.4183535E-05  8.1692501E-04  3.2366700E-07  1.8426954E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0823  3.936396    0.000  2.015515  7.274723  7.1943276E-01  2.7850054E-01  1.4759975E-06  3.9165605E-07  4.8373275E-04  7.6398466E-04  5.0230628E-05  1.3726994E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.899E-06  1.717E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.47E+00  0.000000  0.000105  0.0000000E+00  0.0000000000E+00       4.501     1.10    2.7961    2.8832   -0.0368    0.0495    0.0453    0.0991    0.0462    0.0060    0.2051   -0.0194   -0.0061   -0.0860         0   -0.0871
  5  1.333898760011002E+08    1.400000  0.785104  3.936659  7.4707017E-01  2.5087853E-01  3.2583203E-04  4.0866585E-06  9.4360364E-05  8.1692498E-04  3.2370239E-07  1.8423814E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0811  3.936659    0.000  2.019905  7.276411  7.1120288E-01  2.8673067E-01  1.5004435E-06  3.9816519E-07  4.8782647E-04  7.4721429E-04  6.3031617E-05  1.7265109E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.748E-06  1.652E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.35E+00  0.000000  0.000105  0.0000000E+00  0.0000000000E+00       4.499     1.10    2.7872    2.8748   -0.0372    0.0491    0.0450    0.0986    0.0459    0.0060    0.2038   -0.0194   -0.0064   -0.0855         0   -0.0875
  6  1.650444114305098E+08    1.400000  0.788563  3.936914  7.4706177E-01  2.5088354E-01  3.2556147E-04  4.1558054E-06  9.4602950E-05  8.1692492E-04  3.2377549E-07  1.8418982E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0803  3.936914    0.000  2.024152  7.278069  7.0322064E-01  2.9471347E-01  1.5299968E-06  4.0603345E-07  4.9340412E-04  7.2988957E-04  7.4610902E-05  2.0481694E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.637E-06  1.589E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.28E+00  0.000000  0.000106  0.0000000E+00  0.0000000000E+00       4.496     1.11    2.7786    2.8665   -0.0375    0.0486    0.0447    0.0980    0.0456    0.0060    0.2025   -0.0193   -0.0066   -0.0851         0   -0.0879
  7  1.976816692683464E+08    1.400000  0.792176  3.937185  7.4705229E-01  2.5088974E-01  3.2526691E-04  4.2250154E-06  9.4873552E-05  8.1692482E-04  3.2388772E-07  1.8413187E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0799  3.937185    0.000  2.028602  7.279813  6.9489213E-01  3.0304273E-01  1.5637205E-06  4.1501108E-07  5.0011898E-04  7.1187940E-04  8.5530383E-05  2.3520520E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.552E-06  1.533E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.21E+00  0.000000  0.000107  0.0000000E+00  0.0000000000E+00       4.494     1.11    2.7696    2.8579   -0.0379    0.0481    0.0444    0.0974    0.0453    0.0060    0.2011   -0.0193   -0.0069   -0.0845         0   -0.0883
  8  2.286109804154155E+08    1.400000  0.795743  3.937463  7.4704241E-01  2.5089659E-01  3.2497984E-04  4.2917767E-06  9.5138009E-05  8.1692470E-04  3.2402558E-07  1.8407333E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0780  3.937463    0.000  2.033094  7.281458  6.8687316E-01  3.1106271E-01  1.6004340E-06  4.2462689E-07  5.0811781E-04  6.9371495E-04  9.5049944E-05  2.6175015E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.484E-06  1.484E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.17E+00  0.000000  0.000108  0.0000000E+00  0.0000000000E+00       4.491     1.11    2.7606    2.8494   -0.0383    0.0476    0.0441    0.0968    0.0449    0.0060    0.1998   -0.0193   -0.0071   -0.0840         0   -0.0888
  9  2.599063908448371E+08    1.400000  0.799300  3.937719  7.4703181E-01  2.5090431E-01  3.2468354E-04  4.3593791E-06  9.5412333E-05  8.1692456E-04  3.2419477E-07  1.8401202E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0777  3.937719    0.000  2.037471  7.283187  6.7862357E-01  3.1931353E-01  1.6456115E-06  4.3664496E-07  5.1803193E-04  6.7422167E-04  1.0364071E-04  2.8589265E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.425E-06  1.439E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.13E+00  0.000000  0.000109  0.0000000E+00  0.0000000000E+00       4.489     1.12    2.7518    2.8410   -0.0386    0.0471    0.0438    0.0962    0.0446    0.0060    0.1984   -0.0192   -0.0074   -0.0835         0   -0.0892
 10  2.904821251670001E+08    1.400000  0.802822  3.937970  7.4702066E-01  2.5091276E-01  3.2438255E-04  4.4263596E-06  9.5692785E-05  8.1692438E-04  3.2439190E-07  1.8394935E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0774  3.937970    0.000  2.041805  7.284902  6.7046895E-01  3.2746964E-01  1.6940660E-06  4.4953774E-07  5.2887150E-04  6.5479396E-04  1.1103255E-04  3.0676852E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.374E-06  1.399E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.09E+00  0.000000  0.000110  0.0000000E+00  0.0000000000E+00       4.486     1.12    2.7429    2.8326   -0.0389    0.0467    0.0436    0.0956    0.0443    0.0059    0.1971   -0.0192   -0.0077   -0.0829         0   -0.0897
 11  3.202579379115540E+08    1.400000  0.806346  3.938226  7.4700925E-01  2.5092171E-01  3.2408005E-04  4.4903681E-06  9.5978150E-05  8.1692417E-04  3.2461895E-07  1.8388537E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0767  3.938226    0.000  2.046219  7.286589  6.6243145E-01  3.3550882E-01  1.7456282E-06  4.6325721E-07  5.4056333E-04  6.3543922E-04  1.1730673E-04  3.2458455E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.328E-06  1.360E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.06E+00  0.000000  0.000111  0.0000000E+00  0.0000000000E+00       4.484     1.12    2.7341    2.8243   -0.0393    0.0462    0.0433    0.0950    0.0440    0.0059    0.1958   -0.0192   -0.0080   -0.0824         0   -0.0902
 12  3.490715545808024E+08    1.400000  0.809746  3.938451  7.4699750E-01  2.5093112E-01  3.2377983E-04  4.5517637E-06  9.6263630E-05  8.1692395E-04  3.2486976E-07  1.8382137E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0759  3.938451    0.000  2.050394  7.288244  6.5453721E-01  3.4340509E-01  1.8030938E-06  4.7854320E-07  5.5389737E-04  6.1560857E-04  1.2208240E-04  3.3832640E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.287E-06  1.325E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.03E+00  0.000000  0.000112  0.0000000E+00  0.0000000000E+00       4.481     1.13    2.7256    2.8162   -0.0396    0.0457    0.0430    0.0944    0.0437    0.0059    0.1946   -0.0192   -0.0082   -0.0819         0   -0.0906
 13  3.786048643787989E+08    1.400000  0.813236  3.938674  7.4698562E-01  2.5094081E-01  3.2348714E-04  4.6098757E-06  9.6543802E-05  8.1692371E-04  3.2513687E-07  1.8375856E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0752  3.938674    0.000  2.054699  7.289972  6.4635195E-01  3.5159242E-01  1.8641736E-06  4.9479500E-07  5.6801475E-04  5.9527407E-04  1.2643588E-04  3.5095783E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.251E-06  1.293E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.01E+00  0.000000  0.000113  0.0000000E+00  0.0000000000E+00       4.479     1.13    2.7169    2.8079   -0.0399    0.0453    0.0428    0.0939    0.0434    0.0058    0.1935   -0.0191   -0.0084   -0.0814         0   -0.0910
 14  4.071506938927656E+08    1.400000  0.816785  3.938911  7.4697366E-01  2.5095070E-01  3.2320269E-04  4.6646995E-06  9.6817844E-05  8.1692345E-04  3.2541756E-07  1.8369705E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0737  3.938911    0.000  2.059270  7.291632  6.3828357E-01  3.5966325E-01  1.9321743E-06  5.1288868E-07  5.8375174E-04  5.7445875E-04  1.2932170E-04  3.5958380E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.219E-06  1.263E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.82E-01  0.000000  0.000113  0.0000000E+00  0.0000000000E+00       4.476     1.13    2.7080    2.7994   -0.0403    0.0449    0.0425    0.0933    0.0431    0.0058    0.1922   -0.0191   -0.0087   -0.0809         0   -0.0914
 15  4.350468202987158E+08    1.400000  0.820169  3.939116  7.4696156E-01  2.5096084E-01  3.2292396E-04  4.7166536E-06  9.7088260E-05  8.1692318E-04  3.2571479E-07  1.8363602E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0733  3.939116    0.000  2.063529  7.293318  6.3024060E-01  3.6770882E-01  2.0020370E-06  5.3149030E-07  6.0010811E-04  5.5359498E-04  1.3150380E-04  3.6619629E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.187E-06  1.236E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.62E-01  0.000000  0.000114  0.0000000E+00  0.0000000000E+00       4.473     1.14    2.6996    2.7913   -0.0406    0.0445    0.0423    0.0928    0.0429    0.0058    0.1912   -0.0191   -0.0089   -0.0805         0   -0.0918
 16  4.639087272021347E+08    1.400000  0.823701  3.939319  7.4694936E-01  2.5097119E-01  3.2265180E-04  4.7657766E-06  9.7354012E-05  8.1692289E-04  3.2602727E-07  1.8357566E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0730  3.939319    0.000  2.067968  7.295080  6.2184282E-01  3.7610932E-01  2.0765952E-06  5.5133136E-07  6.1786811E-04  5.3184059E-04  1.3291962E-04  3.7069017E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.159E-06  1.210E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.42E-01  0.000000  0.000116  0.0000000E+00  0.0000000000E+00       4.471     1.14    2.6907    2.7829   -0.0409    0.0441    0.0421    0.0923    0.0426    0.0058    0.1901   -0.0191   -0.0091   -0.0801         0   -0.0921
 17  4.899574500760019E+08    1.400000  0.826922  3.939491  7.4693787E-01  2.5098102E-01  3.2240230E-04  4.8088109E-06  9.7599782E-05  8.1692260E-04  3.2634361E-07  1.8351903E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0723  3.939491    0.000  2.072022  7.296690  6.1414406E-01  3.8381092E-01  2.1517008E-06  5.7132813E-07  6.3544739E-04  5.1156534E-04  1.3298269E-04  3.7139982E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.135E-06  1.189E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.26E-01  0.000000  0.000116  0.0000000E+00  0.0000000000E+00       4.468     1.14    2.6827    2.7751   -0.0412    0.0438    0.0419    0.0919    0.0424    0.0058    0.1893   -0.0191   -0.0093   -0.0797         0   -0.0924
