line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.300000  0.519994  3.851460  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0528  3.851460  -30.000  1.973706  7.230750  7.3497694E-01  2.5884317E-01  5.9340794E-06  1.6243315E-06  1.4330208E-03  2.4469159E-03  5.3516370E-06  5.6986959E-08  8.0438130E-04  6.5060720E-05  0.000E+00  8.372E-06  6.707E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.87E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.391     1.20    3.4500    3.4709    0.0020    0.2997    0.1947    0.3849    0.1979    0.0285    0.8171   -0.0539    0.1055   -0.3379         0   -0.0209
  2  4.764792817188780E+07    1.300000  0.525271  3.851733  7.3805705E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0536  3.851733  -30.000  1.978732  7.232428  7.2689080E-01  2.6692897E-01  5.9540726E-06  1.6296576E-06  1.4324331E-03  2.4345138E-03  1.9256791E-05  4.7183794E-09  8.0438130E-04  6.5060720E-05  0.000E+00  1.853E-06  1.392E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.59E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.387     1.21    3.4368    3.4574    0.0021    0.2986    0.1941    0.3838    0.1972    0.0285    0.8147   -0.0537    0.1051   -0.3370         0   -0.0206
  3  9.467768651529267E+07    1.300000  0.529415  3.852040  7.3805691E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0533  3.852040  -30.000  1.983406  7.234105  7.1880467E-01  2.7501485E-01  5.9937013E-06  1.6406319E-06  1.4319439E-03  2.4212799E-03  3.3838032E-05  8.4370303E-09  8.0438130E-04  6.5060720E-05  0.000E+00  1.568E-06  1.447E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.32E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.384     1.21    3.4265    3.4467    0.0023    0.2975    0.1935    0.3827    0.1966    0.0284    0.8122   -0.0535    0.1047   -0.3360         0   -0.0203
  4  1.411765557017116E+08    1.300000  0.533288  3.852323  7.3805667E-01  2.5590040E-01  9.7849389E-04  1.1874625E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0529  3.852323  -30.000  1.988045  7.235781  7.1071853E-01  2.8310064E-01  6.0355038E-06  1.6522020E-06  1.4316607E-03  2.4071962E-03  4.9067449E-05  1.2348829E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.406E-06  1.478E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.19E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.381     1.22    3.4168    3.4368    0.0025    0.2965    0.1930    0.3817    0.1959    0.0283    0.8099   -0.0533    0.1044   -0.3351         0   -0.0200
  5  1.870666159136550E+08    1.300000  0.537095  3.852606  7.3805631E-01  2.5590040E-01  9.7849388E-04  1.1874642E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0517  3.852606  -30.000  1.992748  7.237448  7.0263239E-01  2.9118651E-01  6.0819483E-06  1.6650635E-06  1.4316245E-03  2.3921858E-03  6.4973933E-05  1.6467232E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.300E-06  1.490E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.10E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.378     1.22    3.4073    3.4270    0.0027    0.2955    0.1924    0.3807    0.1953    0.0282    0.8077   -0.0531    0.1040   -0.3341         0   -0.0198
  6  2.321347650217672E+08    1.300000  0.540823  3.852879  7.3805582E-01  2.5590040E-01  9.7849384E-04  1.1874687E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0504  3.852879  -30.000  1.997453  7.239106  6.9454625E-01  2.9927241E-01  6.1318557E-06  1.6788753E-06  1.4318872E-03  2.3761326E-03  8.1618335E-05  2.0804084E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.218E-06  1.489E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.04E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.376     1.22    3.3979    3.4174    0.0029    0.2945    0.1919    0.3797    0.1947    0.0282    0.8055   -0.0529    0.1037   -0.3333         0   -0.0195
  7  2.767176293506078E+08    1.300000  0.544478  3.853144  7.3805520E-01  2.5590040E-01  9.7849374E-04  1.1874792E-05  2.8232491E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0501  3.853144  -30.000  2.002083  7.240785  6.8646012E-01  3.0735819E-01  6.1773215E-06  1.6914591E-06  1.4325116E-03  2.3591519E-03  9.8816893E-05  2.5302852E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.156E-06  1.483E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.88E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.373     1.23    3.3888    3.4081    0.0030    0.2936    0.1914    0.3787    0.1942    0.0281    0.8033   -0.0527    0.1034   -0.3324         0   -0.0193
  8  3.208543331662655E+08    1.300000  0.548115  3.853394  7.3805445E-01  2.5590042E-01  9.7849355E-04  1.1874997E-05  2.8232492E-04  2.4507750E-03  9.7097200E-07  5.5284599E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0489  3.853394  -30.000  2.006788  7.242445  6.7837398E-01  3.1544408E-01  6.2330177E-06  1.7068609E-06  1.4335338E-03  2.3412091E-03  1.1653671E-04  2.9976787E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.105E-06  1.473E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.48E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.370     1.23    3.3797    3.3987    0.0032    0.2927    0.1909    0.3778    0.1936    0.0280    0.8013   -0.0525    0.1031   -0.3316         0   -0.0190
  9  3.642748711288110E+08    1.300000  0.551702  3.853644  7.3805355E-01  2.5590045E-01  9.7849318E-04  1.1875377E-05  2.8232494E-04  2.4507750E-03  9.7097201E-07  5.5284598E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0484  3.853644  -30.000  2.011451  7.244124  6.7028784E-01  3.2352988E-01  6.2831674E-06  1.7207327E-06  1.4350423E-03  2.3221494E-03  1.3486175E-04  3.4824488E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.061E-06  1.460E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.13E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.368     1.24    3.3707    3.3895    0.0033    0.2918    0.1904    0.3769    0.1931    0.0280    0.7993   -0.0524    0.1028   -0.3308         0   -0.0188
