line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.700000  1.020392  3.951461  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1457  3.951461    0.000  1.953502  7.313461  7.3504340E-01  2.5878520E-01  4.7174942E-06  1.2451829E-06  1.4354797E-03  2.4137370E-03  3.9886924E-05  4.0591310E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.949E-04  1.788E-04  9.301E-01  1.081E+00  4.10E+02  0.00E+00  1.88E+02  0.638759  0.000165  0.0000000E+00  2.4368411357E-03       4.448     1.29    2.1990    2.2960   -0.0322    0.0297    0.0332    0.0626    0.0279    0.0039    0.1286   -0.0180   -0.0226   -0.0541         0   -0.0970
  2  3.376673358861578E+07    1.700000  1.024729  3.953793  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1455  3.953793    0.000  1.954522  7.314081  7.2663030E-01  2.6719510E-01  4.8259307E-06  1.2738297E-06  1.4514543E-03  2.2978449E-03  1.4343277E-04  4.0982597E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.721E-04  1.908E-04  9.465E-01  1.061E+00  4.08E+02  0.00E+00  1.64E+02  0.568756  0.000166  0.0000000E+00  2.4368411357E-03       4.443     1.30    2.1882    2.2922   -0.0352    0.0260    0.0313    0.0575    0.0256    0.0034    0.1190   -0.0179   -0.0249   -0.0497         0   -0.1040
  3  6.961370809617978E+07    1.700000  1.029159  3.954308  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1396  3.954308    0.000  1.958560  7.315780  7.1827900E-01  2.7554720E-01  4.9768278E-06  1.3138178E-06  1.4858063E-03  2.1877867E-03  2.1836899E-04  6.2632938E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.645E-04  2.022E-04  9.506E-01  1.055E+00  4.07E+02  0.00E+00  1.57E+02  0.549160  0.000168  0.0000000E+00  2.4368411357E-03       4.439     1.30    2.1771    2.2826   -0.0361    0.0251    0.0309    0.0563    0.0251    0.0032    0.1169   -0.0179   -0.0255   -0.0487         0   -0.1055
  4  1.061207373737195E+08    1.700000  1.034441  3.954595  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1400  3.954595    0.000  1.960377  7.317222  7.1032740E-01  2.8350290E-01  5.1706476E-06  1.3650855E-06  1.5322192E-03  2.0882718E-03  2.6738887E-04  7.6787561E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.583E-04  2.081E-04  9.536E-01  1.052E+00  4.06E+02  0.00E+00  1.52E+02  0.533816  0.000170  0.0000000E+00  2.4368411357E-03       4.433     1.31    2.1639    2.2703   -0.0368    0.0246    0.0307    0.0556    0.0248    0.0032    0.1157   -0.0179   -0.0258   -0.0481         0   -0.1064
  5  1.384154171192344E+08    1.700000  1.037202  3.954454  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1472  3.954454    0.000  1.961737  7.318931  7.0207560E-01  2.9176060E-01  5.3486748E-06  1.4125365E-06  1.5930777E-03  1.9791957E-03  3.0905538E-04  8.8745280E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.545E-04  2.116E-04  9.552E-01  1.050E+00  4.05E+02  0.00E+00  1.48E+02  0.525113  0.000171  0.0000000E+00  2.4368411357E-03       4.428     1.32    2.1570    2.2629   -0.0368    0.0248    0.0308    0.0559    0.0249    0.0032    0.1163   -0.0179   -0.0257   -0.0483         0   -0.1059
  6  1.693059803540753E+08    1.700000  1.044357  3.955714  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1432  3.955714    0.000  1.968100  7.321391  6.9391900E-01  2.9992710E-01  5.7190920E-06  1.5106167E-06  1.6654010E-03  1.8718332E-03  3.3464441E-04  9.6790435E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.525E-04  2.161E-04  9.561E-01  1.049E+00  4.04E+02  0.00E+00  1.47E+02  0.520531  0.000174  0.0000000E+00  2.4368411357E-03       4.426     1.32    2.1391    2.2490   -0.0385    0.0227    0.0298    0.0530    0.0237    0.0029    0.1111   -0.0178   -0.0270   -0.0458         0   -0.1099
  7  1.959841940568932E+08    1.700000  1.047892  3.955575  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1436  3.955575    0.000  1.970369  7.322777  6.8569740E-01  3.0816060E-01  6.0514511E-06  1.5986194E-06  1.7519580E-03  1.7580558E-03  3.4983534E-04  1.0149638E-07  8.0438135E-04  6.5060718E-05  0.000E+00  1.506E-04  2.178E-04  9.566E-01  1.048E+00  4.03E+02  0.00E+00  1.46E+02  0.517914  0.000175  0.0000000E+00  2.4368411357E-03       4.421     1.33    2.1303    2.2396   -0.0385    0.0229    0.0299    0.0533    0.0238    0.0029    0.1116   -0.0178   -0.0269   -0.0461         0   -0.1094
  8  2.226624077597103E+08    1.700000  1.051012  3.955113  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1433  3.955113    0.000  1.971352  7.323829  6.7749400E-01  3.1637730E-01  6.3877322E-06  1.6875574E-06  1.8437356E-03  1.6507695E-03  3.5178696E-04  1.0224948E-07  8.0438135E-04  6.5060718E-05  0.000E+00  1.486E-04  2.181E-04  9.570E-01  1.048E+00  4.02E+02  0.00E+00  1.44E+02  0.515669  0.000177  0.0000000E+00  2.4368411357E-03       4.416     1.34    2.1225    2.2303   -0.0383    0.0236    0.0302    0.0543    0.0242    0.0030    0.1135   -0.0178   -0.0264   -0.0470         0   -0.1078
  9  2.492002098114603E+08    1.700000  1.055275  3.955035  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1436  3.955035    0.000  1.974381  7.325460  6.6889020E-01  3.2499630E-01  6.7859455E-06  1.7930927E-06  1.9447627E-03  1.5411323E-03  3.4489754E-04  1.0065345E-07  8.0438135E-04  6.5060718E-05  0.000E+00  1.472E-04  2.188E-04  9.571E-01  1.048E+00  4.01E+02  0.00E+00  1.44E+02  0.514928  0.000178  0.0000000E+00  2.4368411357E-03       4.411     1.34    2.1118    2.2193   -0.0385    0.0237    0.0302    0.0545    0.0243    0.0030    0.1138   -0.0178   -0.0263   -0.0471         0   -0.1075
