line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.700000  1.111755  4.003532  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1519  4.003532    0.000  1.987638  7.327433  7.4406040E-01  2.5387860E-01  1.6779219E-06  4.4330587E-07  4.7920272E-04  7.9480155E-04  2.2642365E-05  7.2175085E-09  2.6812712E-04  2.1686906E-05  0.000E+00  2.383E-04  2.176E-04  9.301E-01  1.240E+00  4.38E+02  0.00E+00  2.01E+02  0.639003  0.000204  0.0000000E+00  2.6621406927E-03       4.565     1.13    1.9706    2.3013   -0.1098   -0.0386    0.0016   -0.0211   -0.0084   -0.0015   -0.0227   -0.0178   -0.0623    0.0185         0   -0.3307
  2  3.047138071588282E+07    1.700000  1.116265  4.004601  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1405  4.004601    0.000  1.987162  7.327168  7.3570950E-01  2.6222950E-01  1.7394542E-06  4.5970787E-07  4.9467736E-04  7.3677561E-04  6.5384002E-05  1.9125939E-08  2.6812712E-04  2.1686906E-05  0.000E+00  2.019E-04  2.384E-04  9.499E-01  1.161E+00  4.35E+02  0.00E+00  1.69E+02  0.552339  0.000206  0.0000000E+00  2.6621406927E-03       4.553     1.14    1.9593    2.2956   -0.1118   -0.0398    0.0010   -0.0226   -0.0090   -0.0015   -0.0253   -0.0178   -0.0631    0.0199         0   -0.3363
  3  5.982937233666658E+07    1.700000  1.120234  4.005617  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1428  4.005617    0.000  1.990926  7.329209  7.2742680E-01  2.7051520E-01  1.8580905E-06  4.9112488E-07  5.2434131E-04  6.8062789E-04  8.8803856E-05  2.6169668E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.919E-04  2.528E-04  9.547E-01  1.146E+00  4.34E+02  0.00E+00  1.60E+02  0.527854  0.000208  0.0000000E+00  2.6621406927E-03       4.550     1.15    1.9494    2.2909   -0.1137   -0.0408    0.0005   -0.0240   -0.0096   -0.0016   -0.0277   -0.0178   -0.0638    0.0211         0   -0.3414
  4  8.389692496780057E+07    1.700000  1.125880  4.006813  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1508  4.006813    0.000  1.995275  7.331481  7.1909530E-01  2.7885210E-01  2.0221358E-06  5.3463529E-07  5.6543024E-04  6.2026103E-04  1.0275559E-04  3.0400737E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.866E-04  2.594E-04  9.570E-01  1.136E+00  4.34E+02  0.00E+00  1.56E+02  0.515503  0.000211  0.0000000E+00  2.6621406927E-03       4.548     1.15    1.9353    2.2828   -0.1160   -0.0420   -0.0000   -0.0256   -0.0102   -0.0016   -0.0304   -0.0179   -0.0645    0.0224         0   -0.3475
  5  1.128909308302456E+08    1.700000  1.129119  4.006776  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1539  4.006776    0.000  1.997942  7.333426  7.1073100E-01  2.8722330E-01  2.1887624E-06  5.7875825E-07  6.1152933E-04  5.6862932E-04  1.0134219E-04  3.0060877E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.825E-04  2.635E-04  9.584E-01  1.131E+00  4.33E+02  0.00E+00  1.53E+02  0.507811  0.000213  0.0000000E+00  2.6621406927E-03       4.544     1.15    1.9272    2.2746   -0.1160   -0.0420   -0.0000   -0.0256   -0.0102   -0.0016   -0.0304   -0.0179   -0.0645    0.0224         0   -0.3474
  6  1.368149789981216E+08    1.700000  1.134548  4.007318  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1498  4.007318    0.000  2.001132  7.335152  7.0242320E-01  2.9553870E-01  2.3924089E-06  6.3275915E-07  6.6037613E-04  5.1551881E-04  9.8098483E-05  2.9295117E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.797E-04  2.642E-04  9.593E-01  1.129E+00  4.32E+02  0.00E+00  1.51E+02  0.502900  0.000215  0.0000000E+00  2.6621406927E-03       4.540     1.16    1.9136    2.2639   -0.1170   -0.0425   -0.0003   -0.0263   -0.0105   -0.0017   -0.0317   -0.0179   -0.0649    0.0231         0   -0.3502
  7  1.605353672667218E+08    1.700000  1.138542  4.007319  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582061E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1515  4.007319    0.000  2.004287  7.336837  6.9402080E-01  3.0394890E-01  2.5825240E-06  6.8313643E-07  7.1010882E-04  4.6543145E-04  9.0592159E-05  2.7151356E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.784E-04  2.662E-04  9.593E-01  1.128E+00  4.31E+02  0.00E+00  1.51E+02  0.503034  0.000217  0.0000000E+00  2.6621406927E-03       4.536     1.16    1.9036    2.2540   -0.1171   -0.0426   -0.0003   -0.0264   -0.0105   -0.0017   -0.0317   -0.0179   -0.0649    0.0231         0   -0.3503
  8  1.842557555353218E+08    1.700000  1.143007  4.007224  7.4708560E-01  2.5087260E-01  3.2616461E-04  3.9582206E-06  9.4108301E-05  8.1692502E-04  3.2365736E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1493  4.007224    0.000  2.006940  7.338278  6.8562250E-01  3.1235470E-01  2.7675939E-06  7.3221579E-07  7.5708961E-04  4.2005477E-04  8.1431710E-05  2.4501456E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.769E-04  2.659E-04  9.593E-01  1.128E+00  4.30E+02  0.00E+00  1.50E+02  0.503032  0.000220  0.0000000E+00  2.6621406927E-03       4.531     1.17    1.8925    2.2424   -0.1169   -0.0425   -0.0003   -0.0263   -0.0105   -0.0017   -0.0315   -0.0179   -0.0649    0.0230         0   -0.3499
  9  2.065529205078057E+08    1.700000  1.147553  4.007346  7.4708530E-01  2.5087260E-01  3.2616442E-04  3.9583228E-06  9.4108420E-05  8.1692502E-04  3.2365771E-07  1.8428198E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1483  4.007346    0.000  2.010150  7.339997  6.7757350E-01  3.2041050E-01  2.9433451E-06  7.7885727E-07  7.9933646E-04  3.7994522E-04  7.2439755E-05  2.1909765E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.760E-04  2.662E-04  9.591E-01  1.128E+00  4.29E+02  0.00E+00  1.50E+02  0.504021  0.000222  0.0000000E+00  2.6621406927E-03       4.527     1.18    1.8811    2.2317   -0.1172   -0.0426   -0.0004   -0.0265   -0.0105   -0.0017   -0.0319   -0.0179   -0.0650    0.0232         0   -0.3506
