line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.100000  0.338970  3.845920  7.4708570E-01  2.5087260E-01  3.2616460E-04  3.9582050E-06  9.4108290E-05  8.1692500E-04  3.2365730E-07  1.8428200E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0280  3.845920    0.000  1.999430  7.197930  7.4387210E-01  2.5404850E-01  1.7774070E-06  4.8596410E-07  4.7794620E-04  8.1641270E-04  9.1255690E-07  9.7620790E-08  2.6812710E-04  2.1686910E-05  0.000E+00  7.161E-05  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.00E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.477     1.00    3.9026    3.9625   -0.0730    0.3024    0.2052    0.4133    0.2144    0.0310    0.8790   -0.0595    0.1149   -0.3632         0   -0.0600
  2  5.074202399999999E+07    1.100000  0.342620  3.845850  7.4741030E-01  2.5054910E-01  3.2588460E-04  3.9543920E-06  9.4033110E-05  8.1631060E-04  3.2339170E-07  1.8411800E-06  2.6794470E-04  2.1669950E-05  0.000E+00  0.0233  3.845850    0.000  2.003450  7.198240  7.3610080E-01  2.6181950E-01  1.7749800E-06  4.8560810E-07  4.7810410E-04  8.1526320E-04  2.5459670E-06  5.6326320E-10  2.6821100E-04  2.1694540E-05  0.000E+00  1.183E-05  7.274E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.29E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.473     1.01    3.8935    3.9533   -0.0731    0.3025    0.2053    0.4134    0.2145    0.0310    0.8793   -0.0596    0.1150   -0.3633         0   -0.0598
  3  1.014070350000000E+08    1.100000  0.345200  3.845880  7.4766030E-01  2.5029910E-01  3.2566590E-04  3.9514130E-06  9.3974290E-05  8.1582900E-04  3.2318340E-07  1.8398940E-06  2.6780110E-04  2.1656600E-05  0.000E+00  0.0209  3.845880    0.000  2.007930  7.199270  7.2818660E-01  2.6973390E-01  1.7815140E-06  4.8737650E-07  4.7820140E-04  8.1401680E-04  4.3327700E-06  9.6149760E-10  2.6830880E-04  2.1703440E-05  0.000E+00  9.856E-06  7.356E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.91E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.471     1.01    3.8870    3.9467   -0.0731    0.3023    0.2051    0.4132    0.2144    0.0310    0.8789   -0.0595    0.1149   -0.3631         0   -0.0597
  4  1.508025049999998E+08    1.100000  0.347690  3.845950  7.4787250E-01  2.5008590E-01  3.2547880E-04  3.9488660E-06  9.3923930E-05  8.1541640E-04  3.2300500E-07  1.8387920E-06  2.6767810E-04  2.1645160E-05  0.000E+00  0.0189  3.845950    0.000  2.012570  7.200430  7.2032940E-01  2.7759140E-01  1.7972030E-06  4.9156920E-07  4.7828690E-04  8.1264130E-04  6.2525260E-06  1.4154150E-09  2.6840620E-04  2.1712310E-05  0.000E+00  8.848E-06  7.468E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.24E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.468     1.01    3.8808    3.9404   -0.0731    0.3020    0.2050    0.4129    0.2142    0.0310    0.8782   -0.0595    0.1148   -0.3628         0   -0.0596
  5  1.983346349999999E+08    1.100000  0.350050  3.846010  7.4805840E-01  2.4989780E-01  3.2531340E-04  3.9466200E-06  9.3879420E-05  8.1505160E-04  3.2284720E-07  1.8378180E-06  2.6756920E-04  2.1635040E-05  0.000E+00  0.0172  3.846010    0.000  2.017110  7.201610  7.1273500E-01  2.8518590E-01  1.8117430E-06  4.9554430E-07  4.7838260E-04  8.1123210E-04  8.1985430E-06  1.8803680E-09  2.6850390E-04  2.1721180E-05  0.000E+00  8.271E-06  7.603E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.83E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.466     1.01    3.8749    3.9343   -0.0731    0.3017    0.2048    0.4126    0.2140    0.0310    0.8776   -0.0594    0.1147   -0.3626         0   -0.0595
  6  2.458667649999996E+08    1.100000  0.352410  3.846070  7.4823230E-01  2.4972060E-01  3.2515740E-04  3.9445110E-06  9.3837400E-05  8.1470720E-04  3.2269830E-07  1.8368990E-06  2.6746630E-04  2.1625490E-05  0.000E+00  0.0156  3.846070    0.000  2.021750  7.202830  7.0496740E-01  2.9295370E-01  1.8302020E-06  5.0054890E-07  4.7847420E-04  8.0960850E-04  1.0368310E-05  2.4064590E-09  2.6860110E-04  2.1730020E-05  0.000E+00  7.800E-06  7.747E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.54E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.464     1.02    3.8690    3.9283   -0.0731    0.3014    0.2046    0.4123    0.2138    0.0309    0.8769   -0.0593    0.1146   -0.3623         0   -0.0593
  7  2.933988949999998E+08    1.100000  0.354770  3.846110  7.4839710E-01  2.4955120E-01  3.2500810E-04  3.9425170E-06  9.3797190E-05  8.1437750E-04  3.2255580E-07  1.8360200E-06  2.6736790E-04  2.1616350E-05  0.000E+00  0.0142  3.846110    0.000  2.026490  7.204090  6.9705980E-01  3.0086130E-01  1.8444930E-06  5.0451790E-07  4.7858140E-04  8.0778280E-04  1.2750100E-05  2.9891830E-09  2.6869960E-04  2.1739000E-05  0.000E+00  7.463E-06  7.886E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.29E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.462     1.02    3.8631    3.9223   -0.0731    0.3012    0.2045    0.4121    0.2137    0.0309    0.8765   -0.0593    0.1146   -0.3621         0   -0.0592
  8  3.393466250000003E+08    1.100000  0.357070  3.846150  7.4854920E-01  2.4939330E-01  3.2486890E-04  3.9406990E-06  9.3759710E-05  8.1407020E-04  3.2242300E-07  1.8352000E-06  2.6727610E-04  2.1607820E-05  0.000E+00  0.0129  3.846150    0.000  2.031160  7.205320  6.8934330E-01  3.0857790E-01  1.8610500E-06  5.0906220E-07  4.7869690E-04  8.0586400E-04  1.5211840E-05  3.5967390E-09  2.6879740E-04  2.1747900E-05  0.000E+00  7.186E-06  8.007E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.09E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.460     1.02    3.8573    3.9164   -0.0731    0.3010    0.2044    0.4119    0.2136    0.0309    0.8760   -0.0593    0.1145   -0.3620         0   -0.0591
  9  3.837099449999993E+08    1.100000  0.359310  3.846170  7.4868960E-01  2.4924600E-01  3.2473890E-04  3.9390650E-06  9.3724730E-05  8.1378330E-04  3.2229910E-07  1.8344350E-06  2.6719040E-04  2.1599870E-05  0.000E+00  0.0115  3.846170    0.000  2.035760  7.206530  6.8169940E-01  3.1622170E-01  1.8750840E-06  5.1292170E-07  4.7882110E-04  8.0372670E-04  1.7872740E-05  4.2574700E-09  2.6889020E-04  2.1756390E-05  0.000E+00  6.959E-06  8.113E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  4.95E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.458     1.02    3.8517    3.9107   -0.0731    0.3008    0.2043    0.4118    0.2135    0.0309    0.8757   -0.0592    0.1144   -0.3618         0   -0.0590
