line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.500000  0.898298  3.964522  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1007  3.964522    0.000  2.001025  7.291420  7.4399387E-01  2.5394282E-01  1.5592220E-06  4.1393864E-07  4.7831619E-04  8.0806976E-04  9.8311040E-06  2.6748926E-09  2.6812712E-04  2.1686906E-05  0.000E+00  2.152E-05  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.69E+01  0.000000  0.000126  0.0000000E+00  0.0000000000E+00       4.527     1.11    2.5043    2.6692   -0.0614    0.0066    0.0224    0.0394    0.0176    0.0013    0.0860   -0.0176   -0.0333   -0.0340         0   -0.1650
  2  2.890421414783508E+07    1.500000  0.902606  3.965151  7.4708403E-01  2.5087262E-01  3.2616399E-04  3.9588909E-06  9.4108329E-05  8.1692502E-04  3.2365734E-07  1.8428198E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0992  3.965151    0.000  2.004775  7.293035  7.3567481E-01  2.6226080E-01  1.5691656E-06  4.1694409E-07  4.7996174E-04  7.8129356E-04  3.6257600E-05  1.0041584E-08  2.6812712E-04  2.1686906E-05  0.000E+00  3.228E-06  2.275E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  2.50E+00  0.000000  0.000127  0.0000000E+00  0.0000000000E+00       4.525     1.11    2.4935    2.6607   -0.0619    0.0057    0.0220    0.0382    0.0171    0.0012    0.0838   -0.0176   -0.0339   -0.0329         0   -0.1672
  3  5.751618689713676E+07    1.500000  0.906310  3.965368  7.4707876E-01  2.5087386E-01  3.2611970E-04  3.9936820E-06  9.4123348E-05  8.1692502E-04  3.2365913E-07  1.8427866E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0988  3.965368    0.000  2.008848  7.294690  7.2740571E-01  2.7052949E-01  1.5960515E-06  4.2410806E-07  4.8440134E-04  7.5423282E-04  5.9564946E-05  1.6565149E-08  2.6812712E-04  2.1686906E-05  0.000E+00  2.545E-06  2.133E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.99E+00  0.000000  0.000129  0.0000000E+00  0.0000000000E+00       4.522     1.11    2.4842    2.6522   -0.0622    0.0054    0.0218    0.0377    0.0169    0.0012    0.0829   -0.0176   -0.0341   -0.0325         0   -0.1680
  4  8.621326946078347E+07    1.500000  0.910049  3.965590  7.4706895E-01  2.5087909E-01  3.2581922E-04  4.1331744E-06  9.4326061E-05  8.1692500E-04  3.2368528E-07  1.8424604E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0976  3.965590    0.000  2.012967  7.296399  7.1903319E-01  2.7890218E-01  1.6340525E-06  4.3422776E-07  4.9183461E-04  7.2622809E-04  8.0221080E-05  2.2375087E-08  2.6812712E-04  2.1686906E-05  0.000E+00  2.279E-06  1.963E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.79E+00  0.000000  0.000130  0.0000000E+00  0.0000000000E+00       4.519     1.11    2.4749    2.6437   -0.0624    0.0051    0.0217    0.0372    0.0167    0.0011    0.0821   -0.0175   -0.0343   -0.0321         0   -0.1688
  5  1.129541340590805E+08    1.500000  0.913572  3.965800  7.4705568E-01  2.5088827E-01  3.2521688E-04  4.3146570E-06  9.4836516E-05  8.1692492E-04  3.2378754E-07  1.8415585E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0969  3.965800    0.000  2.016822  7.298025  7.1113760E-01  2.8679852E-01  1.6792790E-06  4.4626966E-07  5.0157386E-04  6.9931232E-04  9.6908310E-05  2.7089451E-08  2.6812712E-04  2.1686906E-05  0.000E+00  2.097E-06  1.824E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.66E+00  0.000000  0.000130  0.0000000E+00  0.0000000000E+00       4.517     1.12    2.4661    2.6356   -0.0626    0.0048    0.0215    0.0368    0.0165    0.0011    0.0813   -0.0175   -0.0345   -0.0317         0   -0.1695
  6  1.410418593193133E+08    1.500000  0.917314  3.966024  7.4704035E-01  2.5090005E-01  3.2446831E-04  4.4845059E-06  9.5530297E-05  8.1692474E-04  3.2399834E-07  1.8401821E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0966  3.966024    0.000  2.020901  7.299761  7.0273307E-01  2.9520448E-01  1.7373489E-06  4.6171994E-07  5.1489976E-04  6.7012685E-04  1.1162961E-04  3.1271128E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.956E-06  1.710E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.55E+00  0.000000  0.000131  0.0000000E+00  0.0000000000E+00       4.514     1.12    2.4567    2.6271   -0.0628    0.0045    0.0214    0.0363    0.0163    0.0010    0.0804   -0.0175   -0.0347   -0.0313         0   -0.1704
  7  1.671437352167365E+08    1.500000  0.920823  3.966223  7.4702393E-01  2.5091333E-01  3.2368901E-04  4.6305026E-06  9.6285531E-05  8.1692445E-04  3.2432095E-07  1.8385573E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0961  3.966223    0.000  2.024688  7.301391  6.9482671E-01  3.0311267E-01  1.8018118E-06  4.7887415E-07  5.3009617E-04  6.4235242E-04  1.2257003E-04  3.4401819E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.843E-06  1.618E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.46E+00  0.000000  0.000132  0.0000000E+00  0.0000000000E+00       4.511     1.13    2.4479    2.6190   -0.0630    0.0042    0.0212    0.0359    0.0161    0.0010    0.0797   -0.0175   -0.0349   -0.0310         0   -0.1711
  8  1.930059050718683E+08    1.500000  0.924318  3.966404  7.4700820E-01  2.5092646E-01  3.2298368E-04  4.7458869E-06  9.6986995E-05  8.1692411E-04  3.2471497E-07  1.8369645E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0954  3.966404    0.000  2.028459  7.303015  6.8682663E-01  3.1111515E-01  1.8703999E-06  4.9667980E-07  5.4805324E-04  6.1384971E-04  1.3092593E-04  3.6779463E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.754E-06  1.550E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.41E+00  0.000000  0.000134  0.0000000E+00  0.0000000000E+00       4.508     1.13    2.4392    2.6110   -0.0631    0.0039    0.0211    0.0355    0.0160    0.0010    0.0790   -0.0175   -0.0351   -0.0306         0   -0.1718
  9  2.206418028216733E+08    1.500000  0.928101  3.966599  7.4699216E-01  2.5094010E-01  3.2230936E-04  4.8454993E-06  9.7669102E-05  8.1692369E-04  3.2519547E-07  1.8353561E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0952  3.966599    0.000  2.032529  7.304785  6.7819040E-01  3.1975438E-01  1.9606131E-06  5.2066270E-07  5.7014973E-04  5.8297292E-04  1.3673967E-04  3.8491406E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.678E-06  1.487E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.35E+00  0.000000  0.000135  0.0000000E+00  0.0000000000E+00       4.505     1.13    2.4297    2.6022   -0.0633    0.0036    0.0209    0.0351    0.0158    0.0009    0.0782   -0.0175   -0.0353   -0.0303         0   -0.1725
 10  2.465134420185386E+08    1.500000  0.931682  3.966772  7.4697605E-01  2.5095401E-01  3.2167666E-04  4.9315387E-06  9.8317069E-05  8.1692319E-04  3.2575119E-07  1.8337835E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0950  3.966772    0.000  2.036352  7.306460  6.7001001E-01  3.2793827E-01  2.0547895E-06  5.4570857E-07  5.9334039E-04  5.5377745E-04  1.3943216E-04  3.9328367E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.609E-06  1.431E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.30E+00  0.000000  0.000136  0.0000000E+00  0.0000000000E+00       4.502     1.14    2.4208    2.5939   -0.0635    0.0033    0.0208    0.0348    0.0156    0.0009    0.0776   -0.0175   -0.0355   -0.0299         0   -0.1731
 11  2.706838016240144E+08    1.500000  0.935217  3.966954  7.4695963E-01  2.5096835E-01  3.2107314E-04  5.0081122E-06  9.8941035E-05  8.1692262E-04  3.2638797E-07  1.8322343E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0937  3.966954    0.000  2.040350  7.308022  6.6224159E-01  3.3571047E-01  2.1528552E-06  5.7179866E-07  6.1727676E-04  5.2607487E-04  1.3962669E-04  3.9466019E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.546E-06  1.378E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.25E+00  0.000000  0.000137  0.0000000E+00  0.0000000000E+00       4.500     1.14    2.4120    2.5858   -0.0637    0.0031    0.0207    0.0344    0.0155    0.0009    0.0769   -0.0175   -0.0357   -0.0296         0   -0.1738
 12  2.964419789932163E+08    1.500000  0.938844  3.967100  7.4694328E-01  2.5098277E-01  3.2051096E-04  5.0752931E-06  9.9526725E-05  8.1692199E-04  3.2708664E-07  1.8307525E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0937  3.967100    0.000  2.044208  7.309723  6.5384173E-01  3.4411471E-01  2.2637208E-06  6.0128197E-07  6.4491682E-04  4.9629465E-04  1.3750936E-04  3.8952593E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.491E-06  1.331E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.22E+00  0.000000  0.000138  0.0000000E+00  0.0000000000E+00       4.497     1.14    2.4029    2.5772   -0.0640    0.0029    0.0206    0.0341    0.0153    0.0008    0.0764   -0.0175   -0.0358   -0.0294         0   -0.1743
 13  3.200162165947129E+08    1.500000  0.942137  3.967204  7.4692736E-01  2.5099690E-01  3.1999719E-04  5.1335680E-06  1.0006533E-04  8.1692131E-04  3.2782526E-07  1.8293680E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.0932  3.967204    0.000  2.047667  7.311305  6.4603685E-01  3.5192392E-01  2.3737320E-06  6.3056129E-07  6.7169674E-04  4.6900488E-04  1.3379227E-04  3.7985428E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.442E-06  1.289E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.18E+00  0.000000  0.000139  0.0000000E+00  0.0000000000E+00       4.494     1.15    2.3947    2.5693   -0.0643    0.0027    0.0205    0.0339    0.0153    0.0008    0.0761   -0.0175   -0.0359   -0.0292         0   -0.1746
