line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.700000  1.029797  3.963235  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1453  3.963235    0.000  1.955190  7.313897  7.3487410E-01  2.5895459E-01  4.7610048E-06  1.2567544E-06  1.4356203E-03  2.4084607E-03  4.5268827E-05  1.6063441E-08  8.0438135E-04  6.5060718E-05  0.000E+00  2.196E-05  2.015E-05  9.921E-01  1.009E+00  4.10E+02  0.00E+00  2.12E+01  0.071973  0.000169  0.0000000E+00  2.7457364909E-04       4.445     1.29    2.1755    2.3111   -0.0461    0.0116    0.0245    0.0374    0.0169    0.0012    0.0828   -0.0175   -0.0342   -0.0323         0   -0.1356
  2  2.919974775047011E+07    1.700000  1.033395  3.963550  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1474  3.963550    0.000  1.957692  7.315699  7.2635851E-01  2.6746662E-01  4.8706433E-06  1.2858764E-06  1.4548972E-03  2.2791642E-03  1.5901699E-04  4.5421872E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.939E-05  2.150E-05  9.940E-01  1.007E+00  4.09E+02  0.00E+00  1.85E+01  0.064085  0.000170  0.0000000E+00  2.7457364909E-04       4.443     1.30    2.1665    2.3032   -0.0467    0.0112    0.0243    0.0368    0.0166    0.0011    0.0817   -0.0175   -0.0345   -0.0318         0   -0.1366
  3  5.695365252996564E+07    1.700000  1.037618  3.963657  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1449  3.963657    0.000  1.961157  7.317210  7.1811085E-01  2.7571570E-01  5.0470038E-06  1.3326133E-06  1.4957092E-03  2.1550113E-03  2.4103756E-04  6.9143269E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.854E-05  2.278E-05  9.944E-01  1.006E+00  4.08E+02  0.00E+00  1.77E+01  0.061877  0.000172  0.0000000E+00  2.7457364909E-04       4.439     1.30    2.1560    2.2929   -0.0470    0.0110    0.0242    0.0366    0.0165    0.0011    0.0813   -0.0175   -0.0346   -0.0316         0   -0.1370
  4  8.374333786714134E+07    1.700000  1.041403  3.963576  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1448  3.963576    0.000  1.963494  7.318596  7.1000033E-01  2.8383148E-01  5.2773329E-06  1.3935871E-06  1.5539369E-03  2.0349866E-03  2.9743562E-04  8.5567933E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.784E-05  2.345E-05  9.948E-01  1.006E+00  4.07E+02  0.00E+00  1.71E+01  0.060148  0.000173  0.0000000E+00  2.7457364909E-04       4.435     1.31    2.1465    2.2831   -0.0472    0.0111    0.0242    0.0368    0.0166    0.0011    0.0816   -0.0175   -0.0346   -0.0317         0   -0.1366
  5  1.101533173342108E+08    1.700000  1.044738  3.963357  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1458  3.963357    0.000  1.965319  7.319968  7.0184969E-01  2.9199051E-01  5.5456686E-06  1.4646482E-06  1.6259701E-03  1.9180386E-03  3.3373897E-04  9.6261310E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.741E-05  2.384E-05  9.950E-01  1.006E+00  4.06E+02  0.00E+00  1.67E+01  0.059168  0.000175  0.0000000E+00  2.7457364909E-04       4.430     1.31    2.1382    2.2740   -0.0472    0.0114    0.0244    0.0372    0.0168    0.0011    0.0824   -0.0175   -0.0344   -0.0320         0   -0.1358
  6  1.364356557083230E+08    1.700000  1.048714  3.963267  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1452  3.963267    0.000  1.967877  7.321395  6.9353239E-01  3.0031912E-01  5.8752165E-06  1.5518714E-06  1.7103987E-03  1.8019233E-03  3.5400212E-04  1.0243576E-07  8.0438135E-04  6.5060718E-05  0.000E+00  1.718E-05  2.435E-05  9.951E-01  1.006E+00  4.05E+02  0.00E+00  1.66E+01  0.058651  0.000176  0.0000000E+00  2.7457364909E-04       4.426     1.32    2.1282    2.2637   -0.0473    0.0115    0.0244    0.0373    0.0168    0.0011    0.0827   -0.0175   -0.0343   -0.0322         0   -0.1354
  7  1.610263450102500E+08    1.700000  1.052176  3.963005  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1447  3.963005    0.000  1.969822  7.322612  6.8550485E-01  3.0835936E-01  6.2116227E-06  1.6409149E-06  1.7993405E-03  1.6932791E-03  3.6083819E-04  1.0468516E-07  8.0438135E-04  6.5060718E-05  0.000E+00  1.697E-05  2.454E-05  9.951E-01  1.005E+00  4.04E+02  0.00E+00  1.65E+01  0.058357  0.000177  0.0000000E+00  2.7457364909E-04       4.422     1.33    2.1196    2.2540   -0.0473    0.0118    0.0246    0.0378    0.0171    0.0012    0.0836   -0.0176   -0.0341   -0.0326         0   -0.1345
  8  1.856113043393036E+08    1.700000  1.055629  3.962681  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1447  3.962681    0.000  1.971691  7.323779  6.7738584E-01  3.1649230E-01  6.5622190E-06  1.7336791E-06  1.8931619E-03  1.5884767E-03  3.5764511E-04  1.0399315E-07  8.0438135E-04  6.5060718E-05  0.000E+00  1.674E-05  2.457E-05  9.952E-01  1.005E+00  4.03E+02  0.00E+00  1.62E+01  0.058104  0.000179  0.0000000E+00  2.7457364909E-04       4.417     1.34    2.1109    2.2442   -0.0472    0.0122    0.0248    0.0384    0.0173    0.0012    0.0847   -0.0176   -0.0338   -0.0331         0   -0.1333
  9  2.103087718874384E+08    1.700000  1.059152  3.962343  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1442  3.962343    0.000  1.973701  7.325027  6.6904495E-01  3.2484821E-01  6.9365065E-06  1.8328135E-06  1.9915195E-03  1.4855723E-03  3.4688690E-04  1.0116011E-07  8.0438135E-04  6.5060718E-05  0.000E+00  1.659E-05  2.465E-05  9.952E-01  1.005E+00  4.02E+02  0.00E+00  1.62E+01  0.058020  0.000180  0.0000000E+00  2.7457364909E-04       4.412     1.34    2.1021    2.2342   -0.0470    0.0127    0.0250    0.0390    0.0176    0.0013    0.0859   -0.0176   -0.0335   -0.0337         0   -0.1321
