line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.600000  0.908522  3.929916  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1124  3.929916  -14.531  1.959246  7.294478  7.3500155E-01  2.5882550E-01  5.6724150E-06  1.5326656E-06  1.4335918E-03  2.4252029E-03  2.8269330E-05  2.2961938E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.820E-04  1.749E-04  9.640E-01  1.042E+00  2.11E+02  0.00E+00  1.69E+02  0.329367  0.000085  0.0000000E+00  1.2565210447E-03       4.416     1.30    2.4787    2.5245   -0.0053    0.0663    0.0532    0.1078    0.0512    0.0062    0.2262   -0.0198   -0.0023   -0.0936         0   -0.0459
  2  3.372653663394292E+07    1.600000  0.912931  3.931338  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1132  3.931338  -14.531  1.961751  7.295714  7.2668672E-01  2.6713743E-01  5.7154333E-06  1.5422734E-06  1.4416746E-03  2.3441840E-03  1.0445734E-04  2.9163612E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.687E-04  1.845E-04  9.724E-01  1.031E+00  2.10E+02  0.00E+00  1.55E+02  0.293271  0.000086  0.0000000E+00  1.2565210447E-03       4.415     1.30    2.4677    2.5161   -0.0072    0.0635    0.0516    0.1045    0.0494    0.0060    0.2187   -0.0196   -0.0037   -0.0907         0   -0.0484
  3  6.844737753953557E+07    1.600000  0.917123  3.931755  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1102  3.931755  -14.531  1.965732  7.297401  7.1840376E-01  2.7541984E-01  5.8188606E-06  1.5699671E-06  1.4603141E-03  2.2655127E-03  1.6521246E-04  4.6234422E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.634E-04  1.928E-04  9.745E-01  1.028E+00  2.10E+02  0.00E+00  1.51E+02  0.283166  0.000087  0.0000000E+00  1.2565210447E-03       4.412     1.30    2.4572    2.5062   -0.0079    0.0626    0.0511    0.1035    0.0489    0.0060    0.2165   -0.0196   -0.0042   -0.0898         0   -0.0491
  4  1.032793215315356E+08    1.600000  0.921673  3.932031  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1104  3.932031  -14.531  1.968537  7.298938  7.1032691E-01  2.8349807E-01  5.9496583E-06  1.6049152E-06  1.4864017E-03  2.1914741E-03  2.1195633E-04  5.9291174E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.592E-04  1.977E-04  9.761E-01  1.027E+00  2.09E+02  0.00E+00  1.48E+02  0.275254  0.000088  0.0000000E+00  1.2565210447E-03       4.408     1.31    2.4458    2.4953   -0.0084    0.0620    0.0508    0.1028    0.0485    0.0060    0.2150   -0.0196   -0.0045   -0.0892         0   -0.0494
  5  1.357023961723451E+08    1.600000  0.924872  3.932070  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1141  3.932070  -14.531  1.971082  7.300607  7.0209525E-01  2.9173223E-01  6.0784463E-06  1.6395810E-06  1.5212830E-03  2.1116457E-03  2.5417845E-04  7.1041821E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.563E-04  2.009E-04  9.769E-01  1.026E+00  2.09E+02  0.00E+00  1.45E+02  0.270767  0.000088  0.0000000E+00  1.2565210447E-03       4.405     1.31    2.4378    2.4872   -0.0085    0.0619    0.0507    0.1026    0.0485    0.0060    0.2147   -0.0195   -0.0046   -0.0891         0   -0.0494
  6  1.670804561890291E+08    1.600000  0.930296  3.932812  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1121  3.932812  -14.531  1.976185  7.302651  6.9391268E-01  2.9991966E-01  6.3132750E-06  1.7022308E-06  1.5635395E-03  2.0318232E-03  2.8725345E-04  8.0565434E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.545E-04  2.042E-04  9.774E-01  1.025E+00  2.08E+02  0.00E+00  1.44E+02  0.268404  0.000090  0.0000000E+00  1.2565210447E-03       4.402     1.32    2.4243    2.4750   -0.0096    0.0605    0.0499    0.1010    0.0476    0.0060    0.2109   -0.0195   -0.0053   -0.0877         0   -0.0507
  7  1.959326560577427E+08    1.600000  0.933804  3.932817  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1123  3.932817  -14.531  1.979150  7.304132  6.8569661E-01  3.0814192E-01  6.5359154E-06  1.7617275E-06  1.6147137E-03  1.9478124E-03  3.1397333E-04  8.8118447E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.529E-04  2.058E-04  9.776E-01  1.025E+00  2.08E+02  0.00E+00  1.43E+02  0.267055  0.000090  0.0000000E+00  1.2565210447E-03       4.399     1.32    2.4155    2.4661   -0.0097    0.0604    0.0498    0.1009    0.0475    0.0060    0.2108   -0.0195   -0.0053   -0.0876         0   -0.0506
  8  2.246187221449836E+08    1.600000  0.937055  3.932632  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1123  3.932632  -14.531  1.981370  7.305428  6.7748991E-01  3.1635575E-01  6.7638457E-06  1.8226118E-06  1.6702004E-03  1.8666652E-03  3.3240629E-04  9.3239398E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.514E-04  2.065E-04  9.778E-01  1.025E+00  2.07E+02  0.00E+00  1.42E+02  0.265897  0.000091  0.0000000E+00  1.2565210447E-03       4.395     1.33    2.4074    2.4575   -0.0096    0.0607    0.0500    0.1012    0.0477    0.0060    0.2116   -0.0195   -0.0052   -0.0879         0   -0.0501
  9  2.531050206624438E+08    1.600000  0.940900  3.932640  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874618E-05  2.8232488E-04  2.4507751E-03  9.7097199E-07  5.5284602E-06  8.0438133E-04  6.5060719E-05  0.000E+00  0.1126  3.932640  -14.531  1.984676  7.307027  6.6907675E-01  3.2477743E-01  7.0350492E-06  1.8951528E-06  1.7321060E-03  1.7839274E-03  3.4466017E-04  9.6736173E-08  8.0438133E-04  6.5060719E-05  0.000E+00  1.503E-04  2.072E-04  9.779E-01  1.025E+00  2.07E+02  0.00E+00  1.42E+02  0.265515  0.000092  0.0000000E+00  1.2565210447E-03       4.391     1.33    2.3978    2.4478   -0.0098    0.0606    0.0499    0.1011    0.0477    0.0060    0.2115   -0.0195   -0.0052   -0.0878         0   -0.0500
