line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.300000  0.517071  3.850883  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0461  3.850883  -30.000  1.973237  7.230129  7.3504883E-01  2.5877096E-01  5.9030441E-06  1.6179915E-06  1.4330825E-03  2.4470052E-03  5.2512671E-06  3.8759553E-08  8.0438130E-04  6.5060720E-05  0.000E+00  7.430E-05  5.952E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.10E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.391     1.20    3.4573    3.4785    0.0016    0.3016    0.1957    0.3869    0.1990    0.0287    0.8214   -0.0543    0.1061   -0.3397         0   -0.0212
  2  4.586083383148509E+07    1.300000  0.523491  3.851531  7.3805670E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0388  3.851531  -30.000  1.978280  7.231821  7.2685698E-01  2.6696265E-01  5.9115558E-06  1.6191697E-06  1.4324562E-03  2.4333957E-03  2.0490774E-05  5.0213727E-09  8.0438130E-04  6.5060720E-05  0.000E+00  1.645E-05  1.235E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.41E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.388     1.21    3.4413    3.4620    0.0020    0.2993    0.1945    0.3846    0.1977    0.0285    0.8163   -0.0538    0.1054   -0.3376         0   -0.0207
  3  9.101030596923243E+07    1.300000  0.527752  3.851891  7.3805545E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0380  3.851891  -30.000  1.982994  7.233491  7.1866512E-01  2.7515425E-01  5.9545257E-06  1.6310158E-06  1.4319587E-03  2.4189079E-03  3.6407416E-05  9.0708838E-09  8.0438130E-04  6.5060720E-05  0.000E+00  1.391E-05  1.284E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.17E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.385     1.21    3.4306    3.4510    0.0022    0.2981    0.1938    0.3833    0.1969    0.0284    0.8134   -0.0536    0.1049   -0.3364         0   -0.0204
  4  1.349157497679569E+08    1.300000  0.531596  3.852205  7.3805326E-01  2.5590040E-01  9.7849385E-04  1.1874664E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0370  3.852205  -30.000  1.987710  7.235122  7.1047328E-01  2.8334579E-01  6.0070907E-06  1.6454746E-06  1.4316989E-03  2.4030270E-03  5.3499229E-05  1.3461067E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.248E-05  1.312E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.05E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.382     1.22    3.4210    3.4411    0.0024    0.2970    0.1932    0.3821    0.1962    0.0283    0.8109   -0.0534    0.1045   -0.3354         0   -0.0201
  5  1.777577352579020E+08    1.300000  0.535211  3.852478  7.3805008E-01  2.5590040E-01  9.7849375E-04  1.1874812E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0360  3.852478  -30.000  1.992337  7.236717  7.0228143E-01  2.9153728E-01  6.0499077E-06  1.6572772E-06  1.4317693E-03  2.3859267E-03  7.1501864E-05  1.8102034E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.154E-05  1.322E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.78E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.380     1.22    3.4120    3.4319    0.0026    0.2960    0.1927    0.3811    0.1956    0.0283    0.8087   -0.0532    0.1042   -0.3346         0   -0.0199
  6  2.207676314550924E+08    1.300000  0.538797  3.852741  7.3804575E-01  2.5590040E-01  9.7849333E-04  1.1875218E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0353  3.852741  -30.000  1.997009  7.238331  6.9408957E-01  2.9972873E-01  6.0973213E-06  1.6703152E-06  1.4322086E-03  2.3682921E-03  8.9616933E-05  2.2802337E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.081E-05  1.322E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.20E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.377     1.22    3.4030    3.4226    0.0028    0.2950    0.1922    0.3802    0.1950    0.0282    0.8066   -0.0530    0.1039   -0.3337         0   -0.0196
  7  2.633978340617893E+08    1.300000  0.542336  3.852998  7.3804023E-01  2.5590040E-01  9.7849248E-04  1.1876143E-05  2.8232495E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0346  3.852998  -30.000  2.001660  7.239937  6.8589772E-01  3.0792018E-01  6.1441368E-06  1.6832153E-06  1.4330709E-03  2.3497391E-03  1.0819461E-04  2.7647020E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.026E-05  1.316E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.76E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.375     1.23    3.3942    3.4136    0.0029    0.2941    0.1917    0.3793    0.1945    0.0281    0.8045   -0.0528    0.1036   -0.3329         0   -0.0194
  8  3.057186875381880E+08    1.300000  0.545892  3.853260  7.3803354E-01  2.5590055E-01  9.7849076E-04  1.1877967E-05  2.8232505E-04  2.4507750E-03  9.7097200E-07  5.5284595E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0340  3.853260  -30.000  2.006418  7.241557  6.7770587E-01  3.1611182E-01  6.2070407E-06  1.7004969E-06  1.4344033E-03  2.3301796E-03  1.2724235E-04  3.2674264E-08  8.0438130E-04  6.5060720E-05  0.000E+00  9.811E-06  1.307E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.41E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.372     1.23    3.3853    3.4044    0.0031    0.2932    0.1912    0.3783    0.1939    0.0281    0.8024   -0.0526    0.1032   -0.3321         0   -0.0191
  9  3.481910840643910E+08    1.300000  0.549400  3.853509  7.3802558E-01  2.5590080E-01  9.7848755E-04  1.1881335E-05  2.8232525E-04  2.4507750E-03  9.7097205E-07  5.5284580E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0335  3.853509  -30.000  2.011123  7.243187  6.6951402E-01  3.2430328E-01  6.2495132E-06  1.7121361E-06  1.4362980E-03  2.3099988E-03  1.4630341E-04  3.7668633E-08  8.0438130E-04  6.5060720E-05  0.000E+00  9.414E-06  1.295E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.10E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.370     1.23    3.3765    3.3954    0.0033    0.2923    0.1907    0.3774    0.1934    0.0280    0.8004   -0.0525    0.1029   -0.3313         0   -0.0189
