line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.200000  0.483682  3.871808  7.4708570E-01  2.5087260E-01  3.2616460E-04  3.9582050E-06  9.4108290E-05  8.1692500E-04  3.2365730E-07  1.8428200E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0656  3.871808    0.000  1.998234  7.221315  7.4396772E-01  2.5395651E-01  4.0383830E-06  1.2350249E-06  4.7443601E-04  8.1592820E-04  1.4578851E-06  1.5002407E-07  2.6812710E-04  2.1686910E-05  0.000E+00  1.284E-05  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.47E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.474     1.05    3.5408    3.5876   -0.0479    0.2205    0.1560    0.3218    0.1636    0.0233    0.6825   -0.0427    0.0834   -0.2819         0   -0.0468
  2  4.940009426135369E+07    1.200000  0.488411  3.872288  7.4709700E-01  2.5086096E-01  3.2615453E-04  3.9580700E-06  9.4105585E-05  8.1690289E-04  3.2364774E-07  1.8427610E-06  2.6812054E-04  2.1686300E-05  0.000E+00  0.0514  3.872288    0.000  2.005394  7.222871  7.3590855E-01  2.6201726E-01  1.9196266E-06  5.2528695E-07  4.7763032E-04  8.1290198E-04  4.8813242E-06  3.0915382E-09  2.6813012E-04  2.1687185E-05  0.000E+00  1.918E-06  1.321E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.41E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.471     1.05    3.5290    3.5754   -0.0473    0.2189    0.1549    0.3199    0.1626    0.0231    0.6785   -0.0424    0.0827   -0.2802         0   -0.0465
  3  9.764599591680320E+07    1.200000  0.491540  3.872469  7.4710501E-01  2.5085197E-01  3.2614658E-04  3.9580409E-06  9.4103472E-05  8.1688556E-04  3.2364025E-07  1.8427147E-06  2.6811537E-04  2.1685819E-05  0.000E+00  0.0491  3.872469    0.000  2.010136  7.224228  7.2768657E-01  2.7023984E-01  1.9337673E-06  5.2919639E-07  4.7747743E-04  8.0958223E-04  8.5913048E-06  2.1006545E-09  2.6813364E-04  2.1687505E-05  0.000E+00  1.477E-06  1.371E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.09E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.468     1.06    3.5211    3.5674   -0.0471    0.2183    0.1545    0.3191    0.1622    0.0231    0.6769   -0.0423    0.0824   -0.2795         0   -0.0463
  4  1.421826543145190E+08    1.200000  0.494454  3.872461  7.6286133E-01  2.3516340E-01  3.1115073E-04  3.7611650E-06  9.0027966E-05  7.8328036E-04  3.0950090E-07  1.7575596E-06  2.5799622E-04  2.0787297E-05  0.000E+00  0.0462  3.872461    0.000  2.014704  7.225588  7.1993135E-01  2.7799539E-01  1.9459301E-06  5.3256851E-07  4.7741510E-04  8.0616024E-04  1.2447333E-05  3.0650034E-09  2.6816111E-04  2.1690017E-05  0.000E+00  1.328E-06  1.378E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.86E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.466     1.06    3.5139    3.5600   -0.0471    0.2182    0.1544    0.3191    0.1622    0.0230    0.6767   -0.0423    0.0824   -0.2795         0   -0.0461
  5  1.892355650567997E+08    1.200000  0.497576  3.872317  7.8303800E-01  2.1508410E-01  2.9028509E-04  3.4959320E-06  8.4245792E-05  7.3482616E-04  2.8948764E-07  1.6391753E-06  2.4302153E-04  1.9493910E-05  0.000E+00  0.0452  3.872317    0.000  2.019604  7.227130  7.1158023E-01  2.8634669E-01  1.9609600E-06  5.3671789E-07  4.7740669E-04  8.0244130E-04  1.6612385E-05  4.1202652E-09  2.6819928E-04  2.1693484E-05  0.000E+00  1.243E-06  1.365E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.26E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.462     1.07    3.5061    3.5521   -0.0473    0.2185    0.1546    0.3194    0.1624    0.0231    0.6775   -0.0424    0.0825   -0.2798         0   -0.0460
  6  2.326283483610364E+08    1.200000  0.500587  3.872352  7.9536015E-01  2.0283017E-01  2.7597102E-04  3.3233675E-06  8.0197493E-05  7.0030664E-04  2.7550988E-07  1.5580847E-06  2.3205785E-04  1.8574116E-05  0.000E+00  0.0430  3.872352    0.000  2.024331  7.228575  7.0377516E-01  2.9415205E-01  1.9771660E-06  5.4119639E-07  4.7743952E-04  7.9848993E-04  2.0922125E-05  5.2271584E-09  2.6822916E-04  2.1696202E-05  0.000E+00  1.177E-06  1.349E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.81E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.459     1.07    3.4985    3.5444   -0.0473    0.2183    0.1545    0.3192    0.1622    0.0231    0.6769   -0.0423    0.0824   -0.2796         0   -0.0459
  7  2.749786485846410E+08    1.200000  0.503436  3.872420  8.0477345E-01  1.9347839E-01  2.6340140E-04  3.1820545E-06  7.6576405E-05  6.6890441E-04  2.6303307E-07  1.4870343E-06  2.2182667E-04  1.7739103E-05  0.000E+00  0.0423  3.872420    0.000  2.028872  7.230032  6.9607923E-01  3.0184815E-01  1.9913574E-06  5.4512276E-07  4.7753403E-04  7.9437584E-04  2.5324856E-05  6.3610245E-09  2.6825744E-04  2.1698795E-05  0.000E+00  1.124E-06  1.328E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.44E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.456     1.07    3.4914    3.5371   -0.0472    0.2180    0.1543    0.3188    0.1621    0.0230    0.6762   -0.0423    0.0823   -0.2793         0   -0.0457
  8  3.171415416901609E+08    1.200000  0.506462  3.872578  8.1090154E-01  1.8739940E-01  2.5360823E-04  3.0831148E-06  7.3703882E-05  6.4351683E-04  2.5314491E-07  1.4318141E-06  2.1333349E-04  1.7065584E-05  0.000E+00  0.0401  3.872578    0.000  2.033644  7.231504  6.8826505E-01  3.0966254E-01  2.0080106E-06  5.4967334E-07  4.7770700E-04  7.8986358E-04  3.0061351E-05  7.5930497E-09  2.6828751E-04  2.1701541E-05  0.000E+00  1.082E-06  1.313E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.14E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.454     1.08    3.4838    3.5294   -0.0470    0.2174    0.1539    0.3182    0.1617    0.0230    0.6747   -0.0422    0.0821   -0.2787         0   -0.0456
  9  3.592027571929595E+08    1.200000  0.509494  3.872779  8.1477030E-01  1.8356907E-01  2.4612724E-04  3.0191848E-06  7.1474030E-05  6.2336892E-04  2.4547250E-07  1.3898961E-06  2.0639852E-04  1.6533062E-05  0.000E+00  0.0393  3.872779    0.000  2.038364  7.233029  6.8033954E-01  3.1758831E-01  2.0255419E-06  5.5449137E-07  4.7797501E-04  7.8495709E-04  3.5099190E-05  8.9073453E-09  2.6831740E-04  2.1704275E-05  0.000E+00  1.046E-06  1.296E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  7.89E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.452     1.08    3.4763    3.5217   -0.0468    0.2167    0.1534    0.3173    0.1612    0.0229    0.6730   -0.0420    0.0818   -0.2779         0   -0.0454
 10  4.011450596859310E+08    1.200000  0.512543  3.873003  8.1682458E-01  1.8154133E-01  2.4105535E-04  2.9878616E-06  6.9941509E-05  6.0911442E-04  2.4017467E-07  1.3616159E-06  2.0133102E-04  1.6157200E-05  0.000E+00  0.0374  3.873003    0.000  2.043254  7.234538  6.7233557E-01  3.2559248E-01  2.0442071E-06  5.5965440E-07  4.7835719E-04  7.7966568E-04  4.0403442E-05  1.0305119E-08  2.6834696E-04  2.1706989E-05  0.000E+00  1.016E-06  1.280E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  7.69E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.450     1.08    3.4686    3.5139   -0.0465    0.2160    0.1529    0.3164    0.1608    0.0228    0.6710   -0.0419    0.0814   -0.2771         0   -0.0452
