line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.500000  0.796032  3.909305  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0883  3.909305  -30.000  1.967250  7.275734  7.3503420E-01  2.5879280E-01  6.9533623E-06  1.9074632E-06  1.4312102E-03  2.4375501E-03  1.5738797E-05  4.1843676E-09  8.0438130E-04  6.5060720E-05  0.000E+00  1.896E-05  1.923E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.68E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.408     1.27    2.7599    2.7776    0.0183    0.1161    0.0818    0.1713    0.0835    0.0118    0.3599   -0.0241    0.0249   -0.1492         0   -0.0177
  2  3.408202369790046E+07    1.500000  0.800472  3.909813  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0927  3.909813  -30.000  1.971444  7.277847  7.2687778E-01  2.6694664E-01  6.9903661E-06  1.9174040E-06  1.4306980E-03  2.3937452E-03  6.2825202E-05  1.6790992E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.859E-05  2.003E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.65E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.406     1.27    2.7488    2.7668    0.0178    0.1146    0.0809    0.1695    0.0826    0.0116    0.3560   -0.0240    0.0242   -0.1476         0   -0.0180
  3  6.748435858720383E+07    1.500000  0.804442  3.910081  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0926  3.910081  -30.000  1.975312  7.279532  7.1872136E-01  2.7510099E-01  7.0473877E-06  1.9332157E-06  1.4324866E-03  2.3478743E-03  1.0927877E-04  2.9395142E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.828E-05  2.060E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.62E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.403     1.27    2.7389    2.7570    0.0175    0.1138    0.0804    0.1685    0.0821    0.0116    0.3539   -0.0239    0.0238   -0.1467         0   -0.0181
  4  1.005496337928919E+08    1.500000  0.808282  3.910323  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0920  3.910323  -30.000  1.979025  7.281188  7.1056494E-01  2.8325587E-01  7.1184604E-06  1.9528904E-06  1.4368579E-03  2.3004438E-03  1.5422722E-04  4.1644539E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.804E-05  2.103E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.61E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.400     1.28    2.7293    2.7475    0.0172    0.1131    0.0800    0.1676    0.0816    0.0115    0.3519   -0.0238    0.0234   -0.1459         0   -0.0182
  5  1.329795582851727E+08    1.500000  0.812104  3.910558  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0913  3.910558  -30.000  1.982857  7.282824  7.0240851E-01  2.9141111E-01  7.2046701E-06  1.9767242E-06  1.4440582E-03  2.2511402E-03  1.9770414E-04  5.3544898E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.783E-05  2.135E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.60E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.397     1.28    2.7197    2.7381    0.0170    0.1124    0.0795    0.1667    0.0811    0.0114    0.3500   -0.0237    0.0230   -0.1452         0   -0.0183
  6  1.647383864964344E+08    1.500000  0.815805  3.910757  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0910  3.910757  -30.000  1.986632  7.284436  6.9425209E-01  2.9956696E-01  7.3052226E-06  2.0044924E-06  1.4544015E-03  2.1999753E-03  2.3931694E-04  6.4978752E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.766E-05  2.158E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.59E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.394     1.29    2.7105    2.7289    0.0167    0.1118    0.0792    0.1659    0.0808    0.0114    0.3484   -0.0237    0.0227   -0.1445         0   -0.0184
  7  1.960429448403131E+08    1.500000  0.819417  3.910915  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0910  3.910915  -30.000  1.990270  7.286044  6.8609567E-01  3.0772355E-01  7.4212158E-06  2.0364949E-06  1.4680503E-03  2.1473769E-03  2.7841242E-04  7.5761139E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.751E-05  2.176E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.58E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.391     1.29    2.7015    2.7199    0.0165    0.1113    0.0789    0.1653    0.0804    0.0113    0.3471   -0.0236    0.0224   -0.1439         0   -0.0184
  8  2.272420059354288E+08    1.500000  0.822949  3.911031  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0911  3.911031  -30.000  1.993747  7.287637  6.7793925E-01  3.1588057E-01  7.5532232E-06  2.0728974E-06  1.4850646E-03  2.0939838E-03  3.1423722E-04  8.5679403E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.740E-05  2.187E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.58E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.388     1.30    2.6926    2.7110    0.0164    0.1108    0.0786    0.1648    0.0802    0.0113    0.3460   -0.0236    0.0222   -0.1435         0   -0.0184
  9  2.578157909768797E+08    1.500000  0.826458  3.911125  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0911  3.911125  -30.000  1.997261  7.289210  6.6978283E-01  3.2403839E-01  7.7060170E-06  2.1150096E-06  1.5057158E-03  2.0391281E-03  3.4716442E-04  9.4840748E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.730E-05  2.195E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.57E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.385     1.30    2.6839    2.7022    0.0162    0.1105    0.0784    0.1643    0.0800    0.0112    0.3452   -0.0236    0.0220   -0.1431         0   -0.0184
