line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.600000  1.013493  3.990103  7.4708570E-01  2.5087260E-01  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1291  3.990103    0.000  1.994597  7.310372  7.4398475E-01  2.5395313E-01  1.6250814E-06  4.3039641E-07  4.7890857E-04  8.0011212E-04  1.7450318E-05  5.0306533E-09  2.6812712E-04  2.1686906E-05  0.000E+00  2.427E-05  1.264E-05  9.959E-01  1.014E+00  2.54E+01  0.00E+00  1.99E+01  0.037126  0.000169  0.0000000E+00  1.5466968167E-04       4.542     1.12    2.2163    2.4839   -0.0886   -0.0244    0.0081   -0.0030   -0.0006   -0.0012    0.0098   -0.0175   -0.0535    0.0028         0   -0.2676
  2  2.636554245861964E+07    1.600000  1.017794  3.990541  7.4708489E-01  2.5087261E-01  3.2616433E-04  3.9585373E-06  9.4108309E-05  8.1692502E-04  3.2365733E-07  1.8428199E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1276  3.990541    0.000  1.997821  7.311906  7.3562859E-01  2.6230895E-01  1.6738905E-06  4.4352048E-07  4.9017538E-04  7.5170440E-04  5.5105497E-05  1.5911193E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.329E-05  2.487E-05  9.971E-01  1.009E+00  2.53E+01  0.00E+00  1.10E+01  0.032091  0.000170  0.0000000E+00  1.5466968167E-04       4.540     1.12    2.2055    2.4752   -0.0892   -0.0249    0.0078   -0.0036   -0.0009   -0.0012    0.0087   -0.0175   -0.0538    0.0033         0   -0.2697
  3  5.212561985042311E+07    1.600000  1.021652  3.990738  7.4708234E-01  2.5087321E-01  3.2614287E-04  3.9753889E-06  9.4115584E-05  8.1692502E-04  3.2365820E-07  1.8428039E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1270  3.990738    0.000  2.001276  7.313522  7.2737833E-01  2.7056115E-01  1.7602804E-06  4.6642226E-07  5.1114334E-04  7.0560090E-04  7.8470072E-05  2.2693872E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.238E-05  2.502E-05  9.974E-01  1.008E+00  2.52E+01  0.00E+00  1.03E+01  0.030668  0.000172  0.0000000E+00  1.5466968167E-04       4.536     1.13    2.1959    2.4665   -0.0896   -0.0251    0.0077   -0.0039   -0.0011   -0.0012    0.0081   -0.0175   -0.0539    0.0036         0   -0.2706
  4  7.764591695947284E+07    1.600000  1.025620  3.990924  7.4707758E-01  2.5087574E-01  3.2599733E-04  4.0429541E-06  9.4213771E-05  8.1692501E-04  3.2367087E-07  1.8426459E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1264  3.990924    0.000  2.004695  7.315168  7.1900519E-01  2.7893767E-01  1.8715183E-06  4.9591310E-07  5.3893584E-04  6.6007560E-04  9.2891813E-05  2.6877735E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.195E-05  2.458E-05  9.975E-01  1.008E+00  2.52E+01  0.00E+00  9.93E+00  0.029951  0.000174  0.0000000E+00  1.5466968167E-04       4.533     1.13    2.1859    2.4575   -0.0899   -0.0254    0.0076   -0.0041   -0.0012   -0.0012    0.0076   -0.0175   -0.0540    0.0038         0   -0.2715
  5  1.025679660080477E+08    1.600000  1.029350  3.991007  7.4707116E-01  2.5088019E-01  3.2570558E-04  4.1308579E-06  9.4461017E-05  8.1692497E-04  3.2372040E-07  1.8422090E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1261  3.991007    0.000  2.007848  7.316748  7.1079571E-01  2.8715156E-01  1.9951604E-06  5.2869250E-07  5.7043057E-04  6.1713395E-04  1.0005292E-04  2.8945890E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.162E-05  2.415E-05  9.976E-01  1.008E+00  2.52E+01  0.00E+00  9.69E+00  0.029504  0.000175  0.0000000E+00  1.5466968167E-04       4.530     1.14    2.1766    2.4486   -0.0900   -0.0255    0.0075   -0.0043   -0.0012   -0.0012    0.0073   -0.0175   -0.0541    0.0040         0   -0.2719
  6  1.267795127049537E+08    1.600000  1.033178  3.991128  7.4706373E-01  2.5088589E-01  3.2534300E-04  4.2131267E-06  9.4797060E-05  8.1692488E-04  3.2382250E-07  1.8415424E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1256  3.991128    0.000  2.011035  7.318312  7.0263140E-01  2.9532054E-01  2.1215831E-06  5.6222200E-07  6.0221839E-04  5.7684957E-04  1.0403072E-04  3.0089805E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.139E-05  2.363E-05  9.976E-01  1.007E+00  2.51E+01  0.00E+00  9.53E+00  0.029218  0.000177  0.0000000E+00  1.5466968167E-04       4.526     1.14    2.1671    2.4396   -0.0902   -0.0256    0.0074   -0.0045   -0.0013   -0.0012    0.0070   -0.0175   -0.0542    0.0041         0   -0.2726
  7  1.505915040728635E+08    1.600000  1.036899  3.991188  7.4705578E-01  2.5089233E-01  3.2496553E-04  4.2838425E-06  9.5162869E-05  8.1692475E-04  3.2397877E-07  1.8407554E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1246  3.991188    0.000  2.014093  7.319851  6.9448084E-01  3.0347610E-01  2.2538274E-06  5.9730548E-07  6.3554850E-04  5.3792540E-04  1.0468111E-04  3.0267298E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.126E-05  2.330E-05  9.976E-01  1.007E+00  2.50E+01  0.00E+00  9.48E+00  0.029226  0.000178  0.0000000E+00  1.5466968167E-04       4.523     1.15    2.1578    2.4306   -0.0904   -0.0257    0.0074   -0.0046   -0.0014   -0.0012    0.0067   -0.0175   -0.0543    0.0042         0   -0.2729
  8  1.742966253001069E+08    1.600000  1.040860  3.991278  7.4704816E-01  2.5089869E-01  3.2462389E-04  4.3397314E-06  9.5502634E-05  8.1692458E-04  3.2416962E-07  1.8399839E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1244  3.991278    0.000  2.017462  7.321389  6.8622710E-01  3.1173500E-01  2.3843819E-06  6.3173797E-07  6.6895918E-04  5.0055022E-04  1.0359158E-04  2.9922915E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.113E-05  2.296E-05  9.976E-01  1.007E+00  2.50E+01  0.00E+00  9.40E+00  0.029226  0.000180  0.0000000E+00  1.5466968167E-04       4.519     1.15    2.1478    2.4212   -0.0905   -0.0259    0.0073   -0.0047   -0.0015   -0.0012    0.0065   -0.0175   -0.0543    0.0043         0   -0.2734
  9  1.980787626724346E+08    1.600000  1.044705  3.991358  7.4704037E-01  2.5090530E-01  3.2429726E-04  4.3879861E-06  9.5833030E-05  8.1692437E-04  3.2440237E-07  1.8392048E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.1242  3.991358    0.000  2.020743  7.323018  6.7783007E-01  3.2013699E-01  2.5170475E-06  6.6695910E-07  7.0172822E-04  4.6482837E-04  1.0152078E-04  2.9322984E-08  2.6812712E-04  2.1686906E-05  0.000E+00  1.104E-05  2.267E-05  9.976E-01  1.007E+00  2.49E+01  0.00E+00  9.37E+00  0.029283  0.000182  0.0000000E+00  1.5466968167E-04       4.516     1.16    2.1382    2.4120   -0.0907   -0.0260    0.0073   -0.0049   -0.0015   -0.0012    0.0062   -0.0175   -0.0544    0.0045         0   -0.2738
