line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.400000  0.664379  3.879726  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0693  3.879726  -30.000  1.971637  7.254411  7.3495000E-01  2.5887419E-01  6.4608469E-06  1.7706411E-06  1.4321143E-03  2.4426583E-03  1.0089245E-05  4.4157754E-09  8.0438130E-04  6.5060720E-05  0.000E+00  8.578E-06  1.526E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  7.53E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.392     1.25    3.0891    3.0985    0.0213    0.2092    0.1394    0.2831    0.1415    0.0199    0.5981   -0.0369    0.0692   -0.2477         0   -0.0095
  2  3.999644082074472E+07    1.400000  0.669018  3.880062  7.3805707E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0729  3.880062  -30.000  1.976286  7.256363  7.2682150E-01  2.6700128E-01  6.4880459E-06  1.7778253E-06  1.4314300E-03  2.4164407E-03  3.8722859E-05  1.0075678E-08  8.0438130E-04  6.5060720E-05  0.000E+00  7.655E-06  1.581E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.73E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.388     1.25    3.0775    3.0867    0.0215    0.2080    0.1386    0.2817    0.1407    0.0198    0.5950   -0.0367    0.0686   -0.2464         0   -0.0093
  3  7.932014160381906E+07    1.400000  0.673052  3.880392  7.3805698E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0727  3.880392  -30.000  1.980600  7.258064  7.1869300E-01  2.7512861E-01  6.5348300E-06  1.7907984E-06  1.4317119E-03  2.3887774E-03  6.7682696E-05  1.7777729E-08  8.0438130E-04  6.5060720E-05  0.000E+00  7.353E-06  1.632E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.50E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.386     1.26    3.0674    3.0764    0.0217    0.2068    0.1379    0.2803    0.1399    0.0197    0.5920   -0.0365    0.0681   -0.2452         0   -0.0091
  4  1.181582614676801E+08    1.400000  0.676892  3.880692  7.3805683E-01  2.5590040E-01  9.7849389E-04  1.1874624E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0723  3.880692  -30.000  1.984826  7.259746  7.1056450E-01  2.8325612E-01  6.5882864E-06  1.8056038E-06  1.4331167E-03  2.3598266E-03  9.6634302E-05  2.5512452E-08  8.0438130E-04  6.5060720E-05  0.000E+00  7.171E-06  1.662E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.38E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.383     1.26    3.0578    3.0667    0.0219    0.2057    0.1371    0.2790    0.1392    0.0196    0.5892   -0.0363    0.0676   -0.2440         0   -0.0089
  5  1.563590513574113E+08    1.400000  0.680744  3.881002  7.3805660E-01  2.5590040E-01  9.7849389E-04  1.1874639E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0708  3.881002  -30.000  1.989176  7.261408  7.0243600E-01  2.9138381E-01  6.6530475E-06  1.8235315E-06  1.4357709E-03  2.3294302E-03  1.2558507E-04  3.3289136E-08  8.0438130E-04  6.5060720E-05  0.000E+00  7.029E-06  1.678E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.28E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.380     1.26    3.0481    3.0569    0.0221    0.2045    0.1364    0.2777    0.1385    0.0195    0.5863   -0.0361    0.0671   -0.2428         0   -0.0087
  6  1.938868415416505E+08    1.400000  0.684476  3.881284  7.3805628E-01  2.5590040E-01  9.7849385E-04  1.1874678E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0705  3.881284  -30.000  1.993409  7.263079  6.9430751E-01  2.9951170E-01  6.7187779E-06  1.8417092E-06  1.4398519E-03  2.2975491E-03  1.5437841E-04  4.1045473E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.916E-06  1.683E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.20E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.378     1.27    3.0388    3.0474    0.0223    0.2035    0.1358    0.2764    0.1378    0.0193    0.5837   -0.0359    0.0666   -0.2418         0   -0.0086
  7  2.310120803181263E+08    1.400000  0.688155  3.881549  7.3805587E-01  2.5590040E-01  9.7849376E-04  1.1874768E-05  2.8232491E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0703  3.881549  -30.000  1.997596  7.264750  6.8617901E-01  3.0763986E-01  6.7918265E-06  1.8618957E-06  1.4454574E-03  2.2644359E-03  1.8261723E-04  4.8680840E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.824E-06  1.684E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.13E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.375     1.27    3.0296    3.0380    0.0224    0.2025    0.1351    0.2753    0.1371    0.0192    0.5812   -0.0358    0.0662   -0.2407         0   -0.0084
  8  2.678256631267714E+08    1.400000  0.691783  3.881789  7.3805538E-01  2.5590041E-01  9.7849359E-04  1.1874947E-05  2.8232491E-04  2.4507750E-03  9.7097200E-07  5.5284599E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0703  3.881789  -30.000  2.001734  7.266422  6.7805051E-01  3.1576819E-01  6.8740665E-06  1.8846035E-06  1.4526632E-03  2.2302428E-03  2.1004404E-04  5.6126077E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.752E-06  1.680E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.10E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.372     1.28    3.0205    3.0288    0.0226    0.2015    0.1345    0.2742    0.1366    0.0192    0.5789   -0.0356    0.0658   -0.2398         0   -0.0082
  9  3.041722609298393E+08    1.400000  0.695384  3.882018  7.3805477E-01  2.5590044E-01  9.7849327E-04  1.1875283E-05  2.8232494E-04  2.4507750E-03  9.7097201E-07  5.5284598E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0698  3.882018  -30.000  2.005877  7.268083  6.6992201E-01  3.2389683E-01  6.9645995E-06  1.9095872E-06  1.4616306E-03  2.1947593E-03  2.3668817E-04  6.3384451E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.689E-06  1.673E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.04E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.370     1.28    3.0115    3.0196    0.0227    0.2007    0.1340    0.2732    0.1360    0.0191    0.5768   -0.0355    0.0654   -0.2389         0   -0.0081
