line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.300000  0.628987  3.902641  7.4708570E-01  2.5087260E-01  3.2616462E-04  3.9582051E-06  9.4108290E-05  8.1692501E-04  3.2365731E-07  1.8428200E-06  2.6812711E-04  2.1686908E-05  0.000E+00  0.0725  3.902641    0.000  2.002616  7.246234  7.4394721E-01  2.5398312E-01  1.6701517E-06  4.5107381E-07  4.7814120E-04  8.1461917E-04  2.8738127E-06  3.0082581E-09  2.6812711E-04  2.1686908E-05  0.000E+00  1.492E-05  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.13E+01  0.000000  0.000046  0.0000000E+00  0.0000000000E+00       4.486     1.08    3.1775    3.2222   -0.0181    0.1259    0.0938    0.2024    0.0998    0.0136    0.4287   -0.0270    0.0377   -0.1765         0   -0.0447
  2  4.168912994994316E+07    1.300000  0.633168  3.902933  7.4708523E-01  2.5087260E-01  3.2616462E-04  3.9582084E-06  9.4108290E-05  8.1692501E-04  3.2365731E-07  1.8428200E-06  2.6812711E-04  2.1686908E-05  0.000E+00  0.0695  3.902933    0.000  2.007108  7.247468  7.3569498E-01  2.6223532E-01  1.6775850E-06  4.5332907E-07  4.7801963E-04  8.0771297E-04  1.0346159E-05  2.6599856E-09  2.6812711E-04  2.1686908E-05  0.000E+00  2.217E-06  1.547E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.67E+00  0.000000  0.000046  0.0000000E+00  0.0000000000E+00       4.483     1.08    3.1671    3.2118   -0.0181    0.1250    0.0932    0.2013    0.0992    0.0136    0.4262   -0.0269    0.0373   -0.1755         0   -0.0447
  3  8.185308535800584E+07    1.300000  0.636477  3.903172  7.4708386E-01  2.5087261E-01  3.2616448E-04  3.9583481E-06  9.4108297E-05  8.1692501E-04  3.2365731E-07  1.8428200E-06  2.6812711E-04  2.1686908E-05  0.000E+00  0.0682  3.903172    0.000  2.011632  7.248984  7.2763066E-01  2.7029976E-01  1.6863604E-06  4.5558228E-07  4.7808799E-04  8.0057469E-04  1.7830319E-05  4.6334103E-09  2.6812711E-04  2.1686908E-05  0.000E+00  1.771E-06  1.606E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.34E+00  0.000000  0.000046  0.0000000E+00  0.0000000000E+00       4.481     1.08    3.1588    3.2035   -0.0181    0.1243    0.0928    0.2004    0.0987    0.0135    0.4241   -0.0268    0.0369   -0.1747         0   -0.0447
  4  1.202127431073837E+08    1.300000  0.639696  3.903436  7.4708155E-01  2.5087273E-01  3.2616340E-04  3.9594844E-06  9.4108376E-05  8.1692501E-04  3.2365734E-07  1.8428195E-06  2.6812711E-04  2.1686908E-05  0.000E+00  0.0666  3.903436    0.000  2.016135  7.250502  7.1982605E-01  2.7810457E-01  1.6993972E-06  4.5913251E-07  4.7833451E-04  7.9339223E-04  2.5137393E-05  6.5710560E-09  2.6812711E-04  2.1686908E-05  0.000E+00  1.592E-06  1.609E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.21E+00  0.000000  0.000047  0.0000000E+00  0.0000000000E+00       4.479     1.09    3.1508    3.1955   -0.0181    0.1235    0.0922    0.1994    0.0982    0.0135    0.4219   -0.0267    0.0365   -0.1739         0   -0.0447
  5  1.597285124982325E+08    1.300000  0.643048  3.903711  7.4707808E-01  2.5087326E-01  3.2615848E-04  3.9643408E-06  9.4109024E-05  8.1692501E-04  3.2365744E-07  1.8428165E-06  2.6812711E-04  2.1686908E-05  0.000E+00  0.0656  3.903711    0.000  2.020751  7.252143  7.1170222E-01  2.8622848E-01  1.7123862E-06  4.6265789E-07  4.7887294E-04  7.8532028E-04  3.3035033E-05  8.6792625E-09  2.6812711E-04  2.1686908E-05  0.000E+00  1.478E-06  1.582E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.12E+00  0.000000  0.000047  0.0000000E+00  0.0000000000E+00       4.477     1.09    3.1424    3.1871   -0.0181    0.1228    0.0917    0.1984    0.0977    0.0134    0.4197   -0.0266    0.0361   -0.1730         0   -0.0448
  6  1.974500750862868E+08    1.300000  0.646340  3.903996  7.4707362E-01  2.5087449E-01  3.2614490E-04  3.9763800E-06  9.4112195E-05  8.1692501E-04  3.2365780E-07  1.8428077E-06  2.6812711E-04  2.1686908E-05  0.000E+00  0.0639  3.903996    0.000  2.025334  7.253731  7.0383674E-01  2.9409422E-01  1.7282271E-06  4.6696284E-07  4.7963580E-04  7.7720481E-04  4.0701374E-05  1.0736971E-08  2.6812711E-04  2.1686908E-05  0.000E+00  1.395E-06  1.549E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.07E+00  0.000000  0.000047  0.0000000E+00  0.0000000000E+00       4.475     1.09    3.1341    3.1790   -0.0181    0.1220    0.0911    0.1973    0.0971    0.0134    0.4173   -0.0265    0.0356   -0.1720         0   -0.0448
  7  2.362163724080535E+08    1.300000  0.649758  3.904289  7.4706813E-01  2.5087662E-01  3.2611605E-04  3.9985084E-06  9.4122460E-05  8.1692501E-04  3.2365872E-07  1.8427871E-06  2.6812711E-04  2.1686908E-05  0.000E+00  0.0634  3.904289    0.000  2.030017  7.255430  6.9566781E-01  3.0226335E-01  1.7438247E-06  4.7118963E-07  4.8082636E-04  7.6810189E-04  4.8897809E-05  1.2947228E-08  2.6812711E-04  2.1686908E-05  0.000E+00  1.329E-06  1.511E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.02E+00  0.000000  0.000048  0.0000000E+00  0.0000000000E+00       4.472     1.10    3.1256    3.1705   -0.0181    0.1212    0.0906    0.1963    0.0965    0.0133    0.4149   -0.0264    0.0352   -0.1711         0   -0.0449
  8  2.734105980096092E+08    1.300000  0.653197  3.904604  7.4706179E-01  2.5087970E-01  3.2606683E-04  4.0306788E-06  9.4145802E-05  8.1692501E-04  3.2366065E-07  1.8427484E-06  2.6812711E-04  2.1686908E-05  0.000E+00  0.0609  3.904604    0.000  2.034872  7.257044  6.8770113E-01  3.1023033E-01  1.7626292E-06  4.7624681E-07  4.8232576E-04  7.5882821E-04  5.6895054E-05  1.5119609E-08  2.6812711E-04  2.1686908E-05  0.000E+00  1.277E-06  1.477E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.85E-01  0.000000  0.000048  0.0000000E+00  0.0000000000E+00       4.470     1.10    3.1170    3.1619   -0.0181    0.1204    0.0900    0.1951    0.0959    0.0132    0.4124   -0.0263    0.0348   -0.1701         0   -0.0449
  9  3.102473374097266E+08    1.300000  0.656548  3.904894  7.4705463E-01  2.5088370E-01  3.2599459E-04  4.0712065E-06  9.4187093E-05  8.1692501E-04  3.2366411E-07  1.8426855E-06  2.6812711E-04  2.1686908E-05  0.000E+00  0.0605  3.904894    0.000  2.039511  7.258719  6.7967599E-01  3.1825577E-01  1.7810572E-06  4.8121611E-07  4.8427153E-04  7.4893291E-04  6.5011368E-05  1.7324913E-08  2.6812711E-04  2.1686908E-05  0.000E+00  1.232E-06  1.443E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.54E-01  0.000000  0.000048  0.0000000E+00  0.0000000000E+00       4.468     1.10    3.1086    3.1536   -0.0181    0.1197    0.0894    0.1941    0.0954    0.0132    0.4100   -0.0262    0.0343   -0.1692         0   -0.0450
