line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.100000  0.337879  3.844731  7.4708570E-01  2.5087260E-01  3.2616460E-04  3.9582050E-06  9.4108290E-05  8.1692500E-04  3.2365730E-07  1.8428200E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0634  3.844731    0.000  1.991409  7.195854  7.4399428E-01  2.5392215E-01  8.4231652E-06  2.7117691E-06  4.6752831E-04  8.1661306E-04  6.8318348E-07  4.5890246E-07  2.6812710E-04  2.1686910E-05  0.000E+00  8.069E-06  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.63E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.473     1.01    3.9053    3.9658   -0.0743    0.3062    0.2074    0.4175    0.2168    0.0314    0.8881   -0.0604    0.1163   -0.3669         0   -0.0605
  2  5.872706264516891E+07    1.100000  0.343800  3.845877  7.4712227E-01  2.5083615E-01  3.2613305E-04  3.9577754E-06  9.4099819E-05  8.1685577E-04  3.2362737E-07  1.8426352E-06  2.6810655E-04  2.1684999E-05  0.000E+00  0.0285  3.845877    0.000  2.004018  7.198604  7.3589095E-01  2.6202988E-01  1.7680323E-06  4.8325456E-07  4.7797686E-04  8.1535876E-04  2.1554096E-06  6.4907937E-09  2.6813655E-04  2.1687770E-05  0.000E+00  1.333E-06  8.196E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.34E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.472     1.01    3.8905    3.9503   -0.0731    0.3023    0.2052    0.4133    0.2144    0.0310    0.8790   -0.0595    0.1149   -0.3632         0   -0.0598
  3  1.174440814575525E+08    1.100000  0.346877  3.845960  7.4715044E-01  2.5080798E-01  3.2610841E-04  3.9574397E-06  9.4093191E-05  8.1680151E-04  3.2360390E-07  1.8424903E-06  2.6809037E-04  2.1683495E-05  0.000E+00  0.0230  3.845960    0.000  2.009172  7.199767  7.2698135E-01  2.7094066E-01  1.7872612E-06  4.8857146E-07  4.7786794E-04  8.1362354E-04  4.1691759E-06  9.5471995E-10  2.6814757E-04  2.1688773E-05  0.000E+00  1.111E-06  8.288E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  7.79E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.469     1.01    3.8828    3.9424   -0.0731    0.3020    0.2050    0.4129    0.2142    0.0310    0.8781   -0.0595    0.1148   -0.3628         0   -0.0596
  4  1.629179989765016E+08    1.100000  0.349083  3.845364  7.9649572E-01  2.0167927E-01  2.7915073E-04  3.3392736E-06  8.1330709E-05  7.1156738E-04  2.7932675E-07  1.5758291E-06  2.3640242E-04  1.8869788E-05  0.000E+00  0.0197  3.845364    0.000  2.013253  7.200829  7.1975113E-01  2.7817082E-01  1.7920113E-06  4.8992188E-07  4.7795309E-04  8.1232000E-04  5.9649585E-06  1.3452561E-09  2.6823362E-04  2.1696640E-05  0.000E+00  9.970E-07  8.415E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  7.03E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.465     1.02    3.8773    3.9371   -0.0738    0.3037    0.2060    0.4149    0.2153    0.0312    0.8825   -0.0599    0.1155   -0.3646         0   -0.0598
  5  2.212573269644377E+08    1.100000  0.352171  3.844360  8.5968535E-01  1.3880041E-01  2.1381671E-04  2.5022554E-06  6.3223256E-05  5.5983390E-04  2.1665546E-07  1.2051143E-06  1.8950945E-04  1.4819567E-05  0.000E+00  0.0177  3.844360    0.000  2.018885  7.202338  7.1029033E-01  2.8763181E-01  1.8125061E-06  4.9555042E-07  4.7806254E-04  8.1045764E-04  8.4977682E-06  1.9501480E-09  2.6835314E-04  2.1707497E-05  0.000E+00  9.319E-07  8.567E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.57E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.458     1.03    3.8696    3.9297   -0.0750    0.3068    0.2078    0.4184    0.2173    0.0315    0.8899   -0.0606    0.1166   -0.3677         0   -0.0601
  6  2.664832349435681E+08    1.100000  0.354619  3.843834  8.9828082E-01  1.0042529E-01  1.6901030E-04  1.9451279E-06  5.0542824E-05  4.5173660E-04  1.7288395E-07  9.5119167E-07  1.5517687E-04  1.1939249E-05  0.000E+00  0.0159  3.843834    0.000  2.023374  7.203540  7.0284847E-01  2.9507369E-01  1.8265675E-06  4.9943895E-07  4.7815751E-04  8.0883156E-04  1.0651810E-05  2.4705486E-09  2.6844671E-04  2.1716009E-05  0.000E+00  8.789E-07  8.729E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.24E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.453     1.03    3.8635    3.9237   -0.0756    0.3084    0.2088    0.4202    0.2183    0.0317    0.8938   -0.0610    0.1172   -0.3693         0   -0.0603
  7  3.116895486953658E+08    1.100000  0.356811  3.843457  9.2776937E-01  7.1136522E-02  1.2968769E-04  1.4700749E-06  3.9192375E-05  3.5340109E-04  1.3381197E-07  7.2872472E-07  1.2313810E-04  9.3244218E-06  0.000E+00  0.0146  3.843457    0.000  2.027865  7.204711  6.9531435E-01  3.0260791E-01  1.8420209E-06  5.0370138E-07  4.7824936E-04  8.0702165E-04  1.2975667E-05  3.0382005E-09  2.6853527E-04  2.1724128E-05  0.000E+00  8.409E-07  8.886E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.96E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.449     1.03    3.8580    3.9183   -0.0761    0.3095    0.2094    0.4215    0.2191    0.0318    0.8965   -0.0612    0.1176   -0.3705         0   -0.0604
  8  3.566969003485175E+08    1.100000  0.359324  3.843311  9.4697187E-01  5.2094771E-02  9.9086980E-05  1.1115247E-06  3.0171192E-05  2.7390030E-04  1.0284521E-07  5.5585146E-07  9.6541859E-05  7.2153076E-06  0.000E+00  0.0133  3.843311    0.000  2.032500  7.205977  6.8768738E-01  3.1023489E-01  1.8565415E-06  5.0770726E-07  4.7836442E-04  8.0503559E-04  1.5492722E-05  3.6570602E-09  2.6862943E-04  2.1732727E-05  0.000E+00  8.097E-07  9.022E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.74E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.446     1.04    3.8517    3.9120   -0.0763    0.3099    0.2096    0.4219    0.2193    0.0319    0.8974   -0.0613    0.1178   -0.3709         0   -0.0603
  9  4.015138503530868E+08    1.100000  0.361865  3.843313  9.5910082E-01  4.0092948E-02  7.5759431E-05  8.4754258E-07  2.3140488E-05  2.1080746E-04  7.8815493E-08  4.2466359E-07  7.4825117E-05  5.5477247E-06  0.000E+00  0.0121  3.843313    0.000  2.037171  7.207249  6.7992848E-01  3.1799395E-01  1.8788294E-06  5.1384611E-07  4.7848250E-04  8.0279395E-04  1.8262320E-05  4.3550437E-09  2.6872303E-04  2.1741288E-05  0.000E+00  7.841E-07  9.141E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.58E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.444     1.04    3.8453    3.9056   -0.0763    0.3098    0.2096    0.4218    0.2193    0.0319    0.8972   -0.0613    0.1177   -0.3708         0   -0.0602
