line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.400000  0.660357  3.878534  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0582  3.878534  -30.000  1.970415  7.253499  7.3501986E-01  2.5880331E-01  6.3344599E-06  1.7401180E-06  1.4322984E-03  2.4427327E-03  1.0006878E-05  3.0825234E-09  8.0438130E-04  6.5060720E-05  0.000E+00  7.613E-05  1.354E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.68E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.391     1.25    3.0991    3.1088    0.0203    0.2130    0.1419    0.2877    0.1443    0.0203    0.6084   -0.0375    0.0709   -0.2517         0   -0.0097
  2  3.872825831416777E+07    1.400000  0.665710  3.879125  7.3805684E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0586  3.879125  -30.000  1.975093  7.255373  7.2681638E-01  2.6700545E-01  6.3129061E-06  1.7307610E-06  1.4316932E-03  2.4154738E-03  3.9740274E-05  1.0233397E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.794E-05  1.403E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.98E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.388     1.25    3.0857    3.0952    0.0208    0.2110    0.1406    0.2853    0.1428    0.0201    0.6030   -0.0372    0.0700   -0.2496         0   -0.0094
  3  7.742221232507057E+07    1.400000  0.669842  3.879506  7.3805605E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0583  3.879506  -30.000  1.979455  7.257085  7.1861289E-01  2.7520780E-01  6.3582113E-06  1.7432788E-06  1.4320395E-03  2.3872207E-03  6.9249982E-05  1.7990836E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.526E-05  1.448E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.77E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.385     1.26    3.0754    3.0846    0.0211    0.2097    0.1397    0.2837    0.1418    0.0200    0.5994   -0.0369    0.0694   -0.2482         0   -0.0092
  4  1.149181570102290E+08    1.400000  0.673645  3.879828  7.3805466E-01  2.5590040E-01  9.7849383E-04  1.1874659E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0577  3.879828  -30.000  1.983783  7.258737  7.1040941E-01  2.8341029E-01  6.4151553E-06  1.7589763E-06  1.4335241E-03  2.3570561E-03  9.9388316E-05  2.5955711E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.364E-05  1.475E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.66E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.383     1.26    3.0659    3.0749    0.0213    0.2085    0.1390    0.2824    0.1411    0.0199    0.5965   -0.0368    0.0689   -0.2470         0   -0.0090
  5  1.518118849732524E+08    1.400000  0.677296  3.880109  7.3805263E-01  2.5590040E-01  9.7849377E-04  1.1874784E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0573  3.880109  -30.000  1.988031  7.260367  7.0220592E-01  2.9161293E-01  6.4680991E-06  1.7735801E-06  1.4363275E-03  2.3254382E-03  1.2947718E-04  3.3930379E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.238E-05  1.489E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.58E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.380     1.26    3.0568    3.0656    0.0215    0.2075    0.1383    0.2812    0.1404    0.0198    0.5939   -0.0366    0.0684   -0.2459         0   -0.0089
  6  1.887275507758121E+08    1.400000  0.680913  3.880366  7.3804986E-01  2.5590040E-01  9.7849342E-04  1.1875137E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0570  3.880366  -30.000  1.992276  7.262008  6.9400243E-01  2.9981573E-01  6.5277739E-06  1.7900296E-06  1.4405661E-03  2.2928815E-03  1.5880753E-04  4.1737985E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.138E-05  1.494E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.50E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.378     1.27    3.0477    3.0564    0.0217    0.2065    0.1377    0.2800    0.1398    0.0197    0.5914   -0.0364    0.0680   -0.2449         0   -0.0087
  7  2.254615911506482E+08    1.400000  0.684506  3.880610  7.3804622E-01  2.5590040E-01  9.7849266E-04  1.1875936E-05  2.8232497E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0568  3.880610  -30.000  1.996511  7.263648  6.8579895E-01  3.0801885E-01  6.5952965E-06  1.8086402E-06  1.4463657E-03  2.2591906E-03  1.8743525E-04  4.9391139E-08  8.0438130E-04  6.5060720E-05  0.000E+00  6.056E-05  1.494E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.44E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.375     1.27    3.0387    3.0473    0.0218    0.2056    0.1371    0.2790    0.1392    0.0196    0.5891   -0.0363    0.0676   -0.2440         0   -0.0085
  8  2.617538813249496E+08    1.400000  0.688078  3.880853  7.3804180E-01  2.5590053E-01  9.7849118E-04  1.1877520E-05  2.8232503E-04  2.4507750E-03  9.7097200E-07  5.5284593E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0568  3.880853  -30.000  2.000787  7.265289  6.7759546E-01  3.1622227E-01  6.6802266E-06  1.8319990E-06  1.4538059E-03  2.2242347E-03  2.1538252E-04  5.6910495E-08  8.0438130E-04  6.5060720E-05  0.000E+00  5.993E-05  1.491E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.41E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.372     1.28    3.0298    3.0382    0.0220    0.2047    0.1365    0.2779    0.1386    0.0195    0.5868   -0.0361    0.0672   -0.2430         0   -0.0084
  9  2.985403174731731E+08    1.400000  0.691650  3.881088  7.3803645E-01  2.5590073E-01  9.7848832E-04  1.1880502E-05  2.8232523E-04  2.4507750E-03  9.7097207E-07  5.5284580E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0568  3.881088  -30.000  2.005036  7.266954  6.6939197E-01  3.2442586E-01  6.7502146E-06  1.8511797E-06  1.4629893E-03  2.1888871E-03  2.4165746E-04  6.3943254E-08  8.0438130E-04  6.5060720E-05  0.000E+00  5.937E-05  1.485E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.36E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.370     1.28    3.0209    3.0291    0.0221    0.2038    0.1360    0.2769    0.1380    0.0194    0.5846   -0.0360    0.0668   -0.2421         0   -0.0082
