line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.200000  0.371240  3.830149  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0369  3.830149  -30.000  1.972512  7.206264  7.3499742E-01  2.5881693E-01  5.5132059E-06  1.5108305E-06  1.4334870E-03  2.4489905E-03  3.0143614E-06  3.8560590E-07  8.0438130E-04  6.5060720E-05  0.000E+00  9.918E-06  2.646E-06  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.04E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.419     1.12    3.8219    3.8566   -0.0085    0.3748    0.2367    0.4632    0.2433    0.0363    0.9867   -0.0704    0.1309   -0.4077         0   -0.0347
  2  5.635603782337645E+07    1.200000  0.377039  3.830400  7.3805707E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0352  3.830400  -30.000  1.977713  7.207530  7.2694011E-01  2.6687469E-01  5.4667673E-06  1.4946887E-06  1.4334873E-03  2.4429234E-03  9.9085047E-06  3.7557361E-09  8.0438130E-04  6.5060720E-05  0.000E+00  1.597E-06  1.240E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.32E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.415     1.12    3.8074    3.8418   -0.0086    0.3737    0.2361    0.4622    0.2427    0.0362    0.9845   -0.0701    0.1306   -0.4068         0   -0.0344
  3  1.117928996235164E+08    1.200000  0.381181  3.830630  7.3805696E-01  2.5590040E-01  9.7849390E-04  1.1874620E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0342  3.830630  -30.000  1.982551  7.209057  7.1888280E-01  2.7493250E-01  5.5089626E-06  1.5064162E-06  1.4330828E-03  2.4363911E-03  1.7265136E-05  4.0206244E-09  8.0438130E-04  6.5060720E-05  0.000E+00  1.359E-06  1.285E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.08E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.411     1.13    3.7970    3.8312   -0.0086    0.3728    0.2356    0.4613    0.2422    0.0361    0.9825   -0.0699    0.1303   -0.4060         0   -0.0341
  4  1.666549362276407E+08    1.200000  0.384988  3.830855  7.3805677E-01  2.5590040E-01  9.7849390E-04  1.1874622E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0338  3.830855  -30.000  1.987366  7.210624  7.1082548E-01  2.8299003E-01  5.5458374E-06  1.5166024E-06  1.4327214E-03  2.4294096E-03  2.5054375E-05  5.9196947E-09  8.0438130E-04  6.5060720E-05  0.000E+00  1.215E-06  1.317E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.68E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.409     1.13    3.7875    3.8214   -0.0086    0.3719    0.2352    0.4604    0.2416    0.0360    0.9805   -0.0697    0.1301   -0.4053         0   -0.0339
  5  2.207557606949765E+08    1.200000  0.388631  3.831065  7.3805649E-01  2.5590040E-01  9.7849389E-04  1.1874630E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0329  3.831065  -30.000  1.992193  7.212191  7.0276816E-01  2.9104775E-01  5.5895104E-06  1.5286634E-06  1.4323959E-03  2.4219013E-03  3.3347722E-05  7.9667079E-09  8.0438130E-04  6.5060720E-05  0.000E+00  1.123E-06  1.334E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.98E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.406     1.14    3.7784    3.8121   -0.0087    0.3711    0.2347    0.4596    0.2411    0.0359    0.9787   -0.0696    0.1298   -0.4045         0   -0.0337
  6  2.739484063307767E+08    1.200000  0.392224  3.831278  7.3805612E-01  2.5590040E-01  9.7849387E-04  1.1874651E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0311  3.831278  -30.000  1.997123  7.213737  6.9471085E-01  2.9910534E-01  5.6358283E-06  1.5414695E-06  1.4321259E-03  2.4137711E-03  4.2229814E-05  1.0185802E-08  8.0438130E-04  6.5060720E-05  0.000E+00  1.053E-06  1.341E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.44E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.403     1.14    3.7694    3.8029   -0.0087    0.3702    0.2342    0.4588    0.2406    0.0358    0.9768   -0.0694    0.1295   -0.4038         0   -0.0335
  7  3.263209721296396E+08    1.200000  0.395716  3.831481  7.3805566E-01  2.5590040E-01  9.7849383E-04  1.1874698E-05  2.8232490E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0300  3.831481  -30.000  2.001966  7.215294  6.8665354E-01  3.0716298E-01  5.6856680E-06  1.5552440E-06  1.4319259E-03  2.4050222E-03  5.1677373E-05  1.2562580E-08  8.0438130E-04  6.5060720E-05  0.000E+00  9.984E-07  1.343E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.04E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.400     1.14    3.7607    3.7939   -0.0087    0.3694    0.2338    0.4580    0.2401    0.0358    0.9751   -0.0692    0.1293   -0.4031         0   -0.0332
  8  3.780091747216450E+08    1.200000  0.399184  3.831674  7.3805510E-01  2.5590041E-01  9.7849374E-04  1.1874790E-05  2.8232491E-04  2.4507750E-03  9.7097200E-07  5.5284600E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0280  3.831674  -30.000  2.006890  7.216818  6.7859622E-01  3.1522058E-01  5.7397770E-06  1.5701965E-06  1.4318139E-03  2.3956675E-03  6.1654235E-05  1.5100156E-08  8.0438130E-04  6.5060720E-05  0.000E+00  9.559E-07  1.342E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  7.73E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.398     1.15    3.7520    3.7851   -0.0087    0.3686    0.2334    0.4572    0.2397    0.0357    0.9734   -0.0690    0.1291   -0.4024         0   -0.0330
  9  4.285624515180147E+08    1.200000  0.402582  3.831871  7.3805445E-01  2.5590042E-01  9.7849359E-04  1.1874955E-05  2.8232492E-04  2.4507750E-03  9.7097200E-07  5.5284599E-06  8.0438130E-04  6.5060720E-05  0.000E+00  0.0277  3.831871  -30.000  2.011774  7.218382  6.7053890E-01  3.2327793E-01  5.7788263E-06  1.5810011E-06  1.4318423E-03  2.3854731E-03  7.2379132E-05  1.7832092E-08  8.0438130E-04  6.5060720E-05  0.000E+00  9.177E-07  1.338E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  7.44E-01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.395     1.15    3.7435    3.7763   -0.0087    0.3679    0.2330    0.4565    0.2392    0.0356    0.9716   -0.0688    0.1288   -0.4017         0   -0.0328
