line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.300000  0.624772  3.900235  7.4708570E-01  2.5087260E-01  3.2616460E-04  3.9582050E-06  9.4108290E-05  8.1692500E-04  3.2365730E-07  1.8428200E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0730  3.900235    0.000  2.001258  7.245303  7.4403547E-01  2.5389477E-01  2.0776198E-06  5.6892749E-07  4.7750283E-04  8.1483187E-04  2.6864762E-06  3.3188822E-09  2.6812710E-04  2.1686910E-05  0.000E+00  1.324E-04  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.00E+02  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.481     1.08    3.1881    3.2316   -0.0185    0.1324    0.0981    0.2109    0.1043    0.0142    0.4473   -0.0279    0.0411   -0.1840         0   -0.0435
  2  3.999541810138226E+07    1.300000  0.629981  3.901442  7.4708157E-01  2.5087260E-01  3.2616460E-04  3.9582340E-06  9.4108290E-05  8.1692500E-04  3.2365730E-07  1.8428200E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0590  3.901442    0.000  2.004991  7.246351  7.3601497E-01  2.6191462E-01  2.0762423E-06  5.7070251E-07  4.7725991E-04  8.0830283E-04  9.9186982E-06  2.5234171E-09  2.6812710E-04  2.1686910E-05  0.000E+00  1.968E-05  1.373E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.48E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.481     1.09    3.1750    3.2190   -0.0183    0.1289    0.0959    0.2065    0.1020    0.0139    0.4376   -0.0274    0.0393   -0.1801         0   -0.0439
  3  7.845768775882846E+07    1.300000  0.632990  3.901508  7.4706933E-01  2.5087270E-01  3.2616340E-04  3.9594742E-06  9.4108355E-05  8.1692500E-04  3.2365730E-07  1.8428200E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0529  3.901508    0.000  2.009550  7.247741  7.2798904E-01  2.6994084E-01  2.0743607E-06  5.6904275E-07  4.7718568E-04  8.0105828E-04  1.7709283E-05  4.5369407E-09  2.6812710E-04  2.1686910E-05  0.000E+00  1.572E-05  1.425E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.19E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.478     1.09    3.1675    3.2114   -0.0183    0.1286    0.0957    0.2061    0.1018    0.0139    0.4369   -0.0274    0.0392   -0.1798         0   -0.0439
  4  1.157151148370666E+08    1.300000  0.635774  3.901468  7.4704885E-01  2.5087375E-01  3.2615379E-04  3.9695587E-06  9.4109055E-05  8.1692500E-04  3.2365750E-07  1.8428150E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0510  3.901468    0.000  2.014170  7.249194  7.1995653E-01  2.7797360E-01  2.0909097E-06  5.7355763E-07  4.7730588E-04  7.9316544E-04  2.5918010E-05  6.6858641E-09  2.6812710E-04  2.1686910E-05  0.000E+00  1.413E-05  1.428E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.07E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.475     1.09    3.1606    3.2043   -0.0183    0.1286    0.0957    0.2061    0.1018    0.0139    0.4370   -0.0274    0.0392   -0.1798         0   -0.0437
  5  1.539044382477995E+08    1.300000  0.638629  3.901344  7.4701805E-01  2.5087847E-01  3.2611016E-04  4.0126596E-06  9.4114806E-05  8.1692500E-04  3.2365841E-07  1.8427887E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0500  3.901344    0.000  2.018707  7.250691  7.1184601E-01  2.8608411E-01  2.1039360E-06  5.7716187E-07  4.7768841E-04  7.8509223E-04  3.4006223E-05  8.8082629E-09  2.6812710E-04  2.1686910E-05  0.000E+00  1.312E-05  1.404E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.98E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.472     1.10    3.1534    3.1969   -0.0183    0.1289    0.0959    0.2065    0.1020    0.0139    0.4377   -0.0274    0.0393   -0.1801         0   -0.0435
  6  1.910165059692253E+08    1.300000  0.641539  3.901249  7.4697850E-01  2.5088936E-01  3.2598959E-04  4.1195072E-06  9.4142946E-05  8.1692500E-04  3.2366159E-07  1.8427106E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0484  3.901249    0.000  2.023372  7.252188  7.0389601E-01  2.9403441E-01  2.1248321E-06  5.8286718E-07  4.7831641E-04  7.7682714E-04  4.1986155E-05  1.0923840E-08  2.6812710E-04  2.1686910E-05  0.000E+00  1.238E-05  1.375E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.51E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.468     1.10    3.1462    3.1895   -0.0184    0.1290    0.0960    0.2067    0.1021    0.0139    0.4382   -0.0275    0.0394   -0.1803         0   -0.0433
  7  2.281285210273797E+08    1.300000  0.644464  3.901145  7.4692980E-01  2.5090832E-01  3.2573357E-04  4.3158966E-06  9.4234045E-05  8.1692500E-04  3.2366976E-07  1.8425277E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0475  3.901145    0.000  2.027963  7.253719  6.9589154E-01  3.0203908E-01  2.1438450E-06  5.8811826E-07  4.7928101E-04  7.6802861E-04  5.0127394E-05  1.3089477E-08  2.6812710E-04  2.1686910E-05  0.000E+00  1.180E-05  1.341E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.08E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.465     1.10    3.1388    3.1820   -0.0184    0.1292    0.0961    0.2069    0.1022    0.0139    0.4387   -0.0275    0.0395   -0.1805         0   -0.0432
  8  2.646010580664547E+08    1.300000  0.647403  3.901070  7.4687351E-01  2.5093565E-01  3.2529670E-04  4.6014093E-06  9.4441213E-05  8.1692500E-04  3.2368691E-07  1.8421845E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0453  3.901070    0.000  2.032552  7.255242  6.8793012E-01  3.1000079E-01  2.1616553E-06  5.9266997E-07  4.8057735E-04  7.5889640E-04  5.8223009E-05  1.5244778E-08  2.6812710E-04  2.1686910E-05  0.000E+00  1.133E-05  1.311E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.74E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.462     1.11    3.1315    3.1745   -0.0184    0.1293    0.0961    0.2071    0.1023    0.0139    0.4391   -0.0275    0.0396   -0.1806         0   -0.0430
  9  3.008563647818252E+08    1.300000  0.650439  3.901030  7.4680997E-01  2.5097115E-01  3.2465558E-04  4.9610925E-06  9.4807670E-05  8.1692500E-04  3.2371760E-07  1.8416261E-06  2.6812710E-04  2.1686910E-05  0.000E+00  0.0442  3.901030    0.000  2.037278  7.256799  6.7985961E-01  3.1807155E-01  2.1850944E-06  5.9896422E-07  4.8229101E-04  7.4905447E-04  6.6555573E-05  1.7471955E-08  2.6812710E-04  2.1686910E-05  0.000E+00  1.094E-05  1.281E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.47E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.459     1.11    3.1239    3.1667   -0.0184    0.1292    0.0961    0.2071    0.1023    0.0139    0.4391   -0.0275    0.0396   -0.1806         0   -0.0428
