#   1 NUMBER                 Running object number                                     
#   2 X_IMAGE                Object position along x                                    [pixel]
#   3 Y_IMAGE                Object position along y                                    [pixel]
#   4 ALPHA_J2000            Right ascension of barycenter (J2000)                      [deg]
#   5 DELTA_J2000            Declination of barycenter (J2000)                          [deg]
#   6 FLUX_APER              Flux vector within fixed circular aperture(s)              [count]
#   7 FLUXERR_APER           RMS error vector for aperture flux(es)                     [count]
#   8 FLUX_RADIUS            Fraction-of-light radii                                    [pixel]
#   9 FWHM_IMAGE             FWHM assuming a gaussian core                              [pixel]
#  10 BACKGROUND             Background at centroid position                            [count]
#  11 THRESHOLD              Detection threshold above background                       [count]
#  12 FLUX_MAX               Peak flux above background                                 [count]
#  13 ISOAREA_IMAGE          Isophotal area above Analysis threshold                    [pixel**2]
#  14 A_IMAGE                Profile RMS along major axis                               [pixel]
#  15 B_IMAGE                Profile RMS along minor axis                               [pixel]
#  16 THETA_IMAGE            Position angle (CCW/x)                                     [deg]
#  17 FLAGS                  Extraction flags                                          
        31     64.1081    912.9047 299.9080780 +22.6767199     2038.993     69.74577     21.598    43.50    -7.087591     19.62747     52.31049       359     8.129     6.460 -55.91   3
        32    163.2275    981.7849 299.9164484 +22.7262170     1301.816     69.58652      7.356     7.23     19.17023     19.62747     38.96311         9     1.761     0.830  80.02   3
        33    159.4475    989.4550 299.9127761 +22.7272796     1645.361     69.60423      7.903    11.19     22.34132     19.62747     40.34968        24     1.976     1.765 -70.42   2
        34    919.6747    910.2428 300.1752093 +22.9326396     1108.807     69.55108      1.230     2.23    -12.78999     19.62747     161.0854        14     0.938     0.795   4.93   0
        35    218.1668    992.7043 299.9299676 +22.7458410     714.3423     69.55108      1.916     3.60      18.4172     19.62747     56.39586         9     0.937     0.640  66.23   0
        36    743.4374    893.3279 300.1257863 +22.8749487     521.7571     69.53336      1.237     2.59    -12.63428     19.62747     69.76718         7     0.876     0.472 -78.18   0
        37    765.5670    887.0620 300.1347212 +22.8797861     5674.722      69.5688      1.171     1.95    -12.58866     19.62747     936.3316        30     1.005     0.971 -55.96   0
        38    811.4667    886.7745 300.1491182 +22.8934652     221.5955     69.55108      1.215     3.19     -12.5892     19.62747     36.75713         5     0.731     0.469 -72.45   0
        39    817.2012    874.5119 300.1548972 +22.8916651     358.3065     69.48015      1.530     3.39    -12.49859     19.62747     38.70417         5     0.772     0.431 -23.35   0
        40    774.0377    869.1724 300.1431841 +22.8771920     711.0196     69.58652      1.270     2.91    -12.45454     19.62747     126.3717        14     1.008     0.811 -73.51   0
        41    957.1488    868.0496 300.2006306 +22.9317593     157.0702     69.60423      1.193     3.86    -12.58084     19.62747     33.86752         5     0.824     0.519 -23.88   0
        42    812.2557    862.5420 300.1572522 +22.8867470     330.6133     69.63965      1.059     2.50    -12.40528     19.62747     65.34869         7     0.811     0.591 -78.15   0
        43    711.8496    852.6159 300.1291977 +22.8537949     368.8819     69.60423      1.036     1.54    -12.15063     19.62747     78.39518         5     0.642     0.444  25.49   0
        44    723.4830    849.9951 300.1336749 +22.8565310     151.5887     69.49789      0.970     3.64    -12.17215     19.62747     53.52549         6     0.954     0.499  88.18   0
