Element,Wavelength (Angstrom),Relative Intensity,Uncertainty in Intensity,Night
[O III],5007,755.9484128103652,33.84119110621706,Night 1
[O III],4959,250.38001256042133,11.28863943083025,Night 1
[O III],4959,347.73933912792364,18.792396774552444,Night 2
[O III],4363,4.106598388019814,0.4669744757323729,Night 2
[Ar IV],4740,2.0517900737871604,0.2123958366465376,Night 2
[Ar IV],4711,2.664659200497345,0.1673801888972387,Night 2
