,Obs time,Flux,Flux error
0,59822.91550269676,1162.044,3.7087005
1,59822.91607491898,921.433,3.5980040000000004
2,59822.919972407406,928.3104999999999,3.622898
3,59822.92026133102,925.6659999999999,3.5967955000000003
4,59822.92055792824,932.5665000000001,3.604645
5,59822.9208528125,935.217,3.6105490000000002
6,59822.92114226852,915.868,3.5969465
7,59822.921433668984,933.449,3.5972155
8,59822.92173055556,932.0865,3.6010685000000002
9,59822.92202733796,930.29,3.603592
10,59822.92232344907,926.2935,3.6191229999999996
11,59822.92261216435,935.8785,3.6154629999999996
12,59822.92290071759,935.751,3.6086665000000004
13,59822.92319530093,934.311,3.6071800000000005
14,59822.92349224537,934.7145,3.609777
15,59822.923787858796,919.7540000000001,3.6066339999999997
16,59822.924085439816,932.7425,3.6131395
17,59822.924381770834,933.0535,3.5987215
18,59822.92467201389,926.034,3.597311
19,59822.92496818287,934.0645000000001,3.621871
20,59822.92525579861,927.4655,3.6202910000000004
21,59822.92554204861,927.1935,3.624225
22,59822.92582855324,935.643,3.6362704999999997
23,59822.92611486111,929.734,3.6363675
24,59822.92640118056,927.5889999999999,3.6382660000000002
25,59822.92668708333,935.9555,3.6133960000000003
26,59822.92697344907,920.4129999999999,3.623416
27,59822.92726011574,930.4770000000001,3.63132
28,59822.92754657407,935.8475000000001,3.633652
29,59822.92783325232,940.8865,3.612135
30,59822.928119351855,935.6735000000001,3.6184939999999997
31,59822.92840601852,938.8055,3.6126075
32,59822.92869494213,931.418,3.618701
33,59822.928990162036,923.6924999999999,3.6138559999999997
34,59822.929285983795,936.5719999999999,3.60623
35,59822.929582766206,932.2270000000001,3.606744
36,59822.92987925926,931.9219999999999,3.6181825000000005
37,59822.930175775466,927.784,3.7176180000000003
38,59822.930473148146,935.1924999999999,3.635047
39,59822.930770625,887.3389999999999,3.61211
40,59822.93106791667,928.7495000000001,3.6073860000000004
41,59822.93135688658,942.8645,3.6250264999999997
42,59822.93164650463,926.5944999999999,3.6228380000000002
43,59822.93194105324,924.517,3.6135975
44,59822.9322353125,928.5475,3.6117179999999998
45,59822.93253116898,941.8915000000001,3.607239
46,59822.93282380787,933.2185,3.5996949999999996
47,59822.933119560184,934.122,3.6007015000000004
48,59822.933414467596,930.6305,3.604851
49,59822.93370997685,942.3870000000001,3.5988455000000004
50,59822.9340078125,932.2665000000001,3.6034075000000003
51,59822.934304270835,927.4225,3.6011724999999997
52,59822.934600092594,933.503,3.6099825
53,59822.93489633102,940.778,3.6090485
54,59822.935192592595,932.923,3.591651
55,59822.9354893287,927.6325,3.5964669999999996
56,59822.93578599537,937.5045,3.6137569999999997
57,59822.936077569444,928.9844999999999,3.610322
58,59822.93637188657,924.193,3.618144
59,59822.93666638889,926.8245000000001,3.599106
60,59822.93696103009,948.6514999999999,3.6102424999999996
61,59822.937255046294,917.9315,3.6094925000000004
62,59822.93754820602,934.8045,3.613423
63,59822.93784326389,930.7405000000001,3.6128435000000003
64,59822.93813824074,932.4875,3.622765
65,59822.93843283565,928.3639999999999,3.601547
66,59822.93872829861,933.231,3.5983685000000003
67,59822.9390227662,931.9834999999999,3.6125725
