,Obs time,Flux,Flux error
0,59822.91550269676,1956.961,3.7087005
1,59822.91607491898,1581.981,3.5989195
2,59822.919972407406,1578.7535,3.6238210000000004
3,59822.92026133102,1586.1985,3.5995455
4,59822.92055792824,1580.731,3.604645
5,59822.9208528125,1577.7325,3.6096315
6,59822.92114226852,1581.6895,3.596031
7,59822.921433668984,1580.795,3.6018035
8,59822.92173055556,1573.9665,3.601985
9,59822.92202733796,1581.6235000000001,3.6100115
10,59822.92232344907,1581.4595,3.6163645000000004
11,59822.92261216435,1594.6425,3.614542
12,59822.92290071759,1574.7015,3.6077485000000005
13,59822.92319530093,1588.407,3.5980179999999997
14,59822.92349224537,1591.786,3.6088575
15,59822.923787858796,1585.675,3.597473
16,59822.924085439816,1583.5345,3.6011985
17,59822.924381770834,1595.212,3.5978054999999998
18,59822.92467201389,1577.8725,3.597311
19,59822.92496818287,1587.3319999999999,3.616346
20,59822.92525579861,1589.0305,3.6249124999999998
21,59822.92554204861,1590.212,3.6279195
22,59822.92582855324,1596.4850000000001,3.641821
23,59822.92611486111,1574.6309999999999,3.6372929999999997
24,59822.92640118056,1585.731,3.6280995
25,59822.92668708333,1595.6754999999998,3.612475
26,59822.92697344907,1588.039,3.623416
27,59822.92726011574,1576.2385,3.6276179999999996
28,59822.92754657407,1600.7334999999998,3.627191
29,59822.92783325232,1594.739,3.6130555
30,59822.928119351855,1583.8915000000002,3.6184939999999997
31,59822.92840601852,1574.824,3.6144485000000004
32,59822.92869494213,1590.886,3.6039529999999997
33,59822.928990162036,1576.8355,3.6184555000000005
34,59822.929285983795,1597.4275,3.6135710000000003
35,59822.929582766206,1573.8049999999998,3.609498
36,59822.92987925926,1579.3629999999998,3.6181825000000005
37,59822.930175775466,1580.0819999999999,3.7071975000000004
38,59822.930473148146,1588.5975,3.636898
39,59822.930770625,1500.0375,3.6102705
40,59822.93106791667,1586.525,3.6138155
41,59822.93135688658,1572.0035,3.6213349999999997
42,59822.93164650463,1587.9145,3.6292955
43,59822.93194105324,1574.6465,3.6191185
44,59822.9322353125,1592.2475,3.6107975000000003
45,59822.93253116898,1585.8595,3.604486
46,59822.93282380787,1590.522,3.5996949999999996
47,59822.933119560184,1580.0285,3.6034509999999997
48,59822.933414467596,1568.9605,3.603016
49,59822.93370997685,1589.822,3.5997630000000003
50,59822.9340078125,1601.1084999999998,3.6024900000000004
51,59822.934304270835,1587.442,3.5993380000000004
52,59822.934600092594,1581.2415,3.6053939999999995
53,59822.93489633102,1591.7645,3.609968
54,59822.935192592595,1581.037,3.599875
55,59822.9354893287,1585.522,3.5964669999999996
56,59822.93578599537,1576.752,3.6119174999999997
57,59822.936077569444,1598.0104999999999,3.6121615
58,59822.93637188657,1577.7315,3.6144640000000003
59,59822.93666638889,1604.1185,3.6055145000000004
60,59822.93696103009,1589.35,3.6074824999999997
61,59822.937255046294,1582.922,3.596631
62,59822.93754820602,1592.4765,3.609744
63,59822.93784326389,1584.3195,3.6146845
64,59822.93813824074,1594.1,3.6163325
65,59822.93843283565,1562.5149999999999,3.603381
66,59822.93872829861,1589.0875,3.5928820000000004
67,59822.9390227662,1591.8615,3.6153305000000002
68,59822.93931736111,1576.279,3.6034185
69,59822.93961177083,1597.0925,3.612377
70,59822.939907002314,1573.344,3.6153145
71,59822.94020099537,1588.1395,3.6144155
72,59822.94049487269,1579.368,3.6074125
73,59822.94078931713,1585.8155000000002,3.6144179999999997
74,59822.941083460646,1590.0175,3.6182125
75,59822.94137768519,1582.447,3.617871
76,59822.94167251157,1596.0025,3.6024434999999997
77,59822.9419678125,1569.6535,3.6115725
78,59822.94226255787,1585.6100000000001,3.6148545
79,59822.942557916664,1584.1195,3.604752
80,59822.942851875,1583.1395,3.606996
81,59822.943145717596,1584.051,3.5950425000000004
82,59822.94344106482,1579.7385,3.6155470000000003
83,59822.94373288195,1584.2615,3.612462
84,59822.94402771991,1578.027,3.6055245
85,59822.94432210648,1584.624,3.613955
86,59822.94461711805,1579.769,3.6097360000000003
87,59822.94491133102,1585.9945,3.620819
88,59822.945206006945,1585.3685,3.608087
89,59822.94550134259,1576.0425,3.6272534999999997
90,59822.94579506944,1580.3345,3.6164375
91,59822.94609025463,1584.0745000000002,3.6013125
92,59822.946384375,1595.625,3.615544
93,59822.94667434028,1586.1924999999999,3.6090785
94,59822.94696912037,1590.3455,3.6045589999999996
95,59822.94726388889,1591.1190000000001,3.615224
96,59822.94755819444,1595.795,3.607387
97,59822.94785365741,1589.9585,3.6176575
98,59822.94814699074,1585.355,3.6144355
99,59822.94844040509,1576.7125,3.620812
100,59822.94873539352,1587.1770000000001,3.6171805
101,59822.94902936342,1584.397,3.6142195
102,59822.94932314815,1576.8274999999999,3.623422
103,59822.94961667824,1578.0455,3.614612
104,59822.94991099537,1575.806,3.6203760000000003
105,59822.9502055787,1572.4475,3.609292
106,59822.95049991898,1597.8319999999999,3.6103700000000005
107,59822.95079519676,1577.9175,3.6185720000000003
108,59822.951089675924,1575.941,3.6070465
109,59822.951384803244,1579.6385,3.5955804999999996
110,59822.95167913195,1572.8565,3.620174
111,59822.9519733912,1591.9545,3.6150335
