,Obs time,Flux,Flux error
0,59822.91550269676,1881.3419999999999,3.7134210000000003
1,59822.91607491898,1477.824,3.5989195
2,59822.919972407406,1498.4270000000001,3.6219755
3,59822.92026133102,1490.636,3.6032094999999997
4,59822.92055792824,1497.136,3.6028095
5,59822.9208528125,1500.5745000000002,3.6050385
6,59822.92114226852,1496.4479999999999,3.5923670000000003
7,59822.921433668984,1503.952,3.599969
8,59822.92173055556,1514.9875,3.6001515
9,59822.92202733796,1502.0455,3.6026739999999995
10,59822.92232344907,1513.206,3.6163645000000004
11,59822.92261216435,1494.179,3.6163835
12,59822.92290071759,1501.5575000000001,3.6123375
13,59822.92319530093,1506.9360000000001,3.604434
14,59822.92349224537,1510.7325,3.6088575
15,59822.923787858796,1517.6115,3.6020564999999998
16,59822.924085439816,1510.024,3.606715
17,59822.924381770834,1517.0549999999998,3.5996375
18,59822.92467201389,1510.041,3.599143
19,59822.92496818287,1518.8600000000001,3.616346
20,59822.92525579861,1508.646,3.6258360000000005
21,59822.92554204861,1515.968,3.6279195
22,59822.92582855324,1497.966,3.631639
23,59822.92611486111,1508.6695,3.6372929999999997
24,59822.92640118056,1514.5395,3.6364195
25,59822.92668708333,1495.1625,3.6152375
26,59822.92697344907,1509.603,3.6215685
27,59822.92726011574,1508.3015,3.6276179999999996
28,59822.92754657407,1524.7440000000001,3.6327295
29,59822.92783325232,1502.9795,3.6075294999999996
30,59822.928119351855,1506.3415,3.6184939999999997
31,59822.92840601852,1507.788,3.6126075
32,59822.92869494213,1500.9995000000001,3.6223785
33,59822.928990162036,1511.1219999999998,3.6147765
34,59822.929285983795,1507.0655000000002,3.6007145
35,59822.929582766206,1497.172,3.606744
36,59822.92987925926,1499.1185,3.6089545000000003
37,59822.930175775466,1511.7775,3.7138315
38,59822.930473148146,1512.393,3.6433705000000005
39,59822.930770625,1424.4235,3.6075090000000003
40,59822.93106791667,1516.037,3.6083055
41,59822.93135688658,1513.103,3.6250264999999997
42,59822.93164650463,1518.1295,3.6191435
43,59822.93194105324,1508.259,3.6135975
44,59822.9322353125,1517.1680000000001,3.6098765
45,59822.93253116898,1506.6025,3.6063215
46,59822.93282380787,1506.0605,3.5996949999999996
47,59822.933119560184,1508.2705,3.6007019999999996
48,59822.933414467596,1492.7705,3.6011800000000003
49,59822.93370997685,1498.374,3.6006810000000002
50,59822.9340078125,1511.3415,3.6024900000000004
51,59822.934304270835,1512.4645,3.5993380000000004
52,59822.934600092594,1503.4735,3.6108995
53,59822.93489633102,1509.6295,3.6108874999999996
54,59822.935192592595,1505.678,3.591651
55,59822.9354893287,1512.645,3.6001309999999997
56,59822.93578599537,1504.3165000000001,3.6119174999999997
57,59822.936077569444,1511.472,3.610322
58,59822.93637188657,1513.344,3.6227400000000003
59,59822.93666638889,1503.018,3.6009385000000003
60,59822.93696103009,1502.6505,3.6074824999999997
61,59822.937255046294,1507.7785,3.6021484999999998
62,59822.93754820602,1501.041,3.6115839999999997
63,59822.93784326389,1490.7275,3.6128435000000003
64,59822.93813824074,1506.5545,3.6163325
65,59822.93843283565,1500.4735,3.6052145
66,59822.93872829861,1499.2095,3.5910505
67,59822.9390227662,1489.7620000000002,3.6107325
68,59822.93931736111,1517.0584999999999,3.606172
69,59822.93961177083,1517.023,3.613297
70,59822.939907002314,1519.453,3.6107210000000003
71,59822.94020099537,1510.5465,3.6181004999999997
72,59822.94049487269,1512.201,3.6019150000000004
73,59822.94078931713,1509.458,3.62087
74,59822.941083460646,1510.4005,3.6126955
75,59822.94137768519,1494.3229999999999,3.617871
76,59822.94167251157,1504.3385,3.6153260000000005
77,59822.9419678125,1490.3255,3.6106540000000003
78,59822.94226255787,1500.7685,3.617617
79,59822.942557916664,1511.5765,3.6038355
80,59822.942851875,1499.7649999999999,3.6088335000000002
81,59822.943145717596,1518.0235,3.5941245000000004
82,59822.94344106482,1499.5735,3.6091045
83,59822.94373288195,1506.096,3.6170720000000003
84,59822.94402771991,1497.0639999999999,3.6018529999999997
85,59822.94432210648,1498.962,3.6121125
86,59822.94461711805,1506.0835,3.618961
87,59822.94491133102,1511.538,3.615298
88,59822.945206006945,1493.192,3.6108400000000005
89,59822.94550134259,1502.769,3.6309435
90,59822.94579506944,1504.952,3.613673
91,59822.94609025463,1510.123,3.6003945
92,59822.946384375,1509.6309999999999,3.615544
93,59822.94667434028,1500.7905,3.6219515
94,59822.94696912037,1493.212,3.614665
