,Obs time,Flux,Flux error
0,59822.91550269676,3342.118,3.7058655000000003
1,59822.91607491898,2657.169,3.5980040000000004
2,59822.919972407406,2664.983,3.6256655
3,59822.92026133102,2672.483,3.5977125
4,59822.92055792824,2688.773,3.60648
5,59822.9208528125,2662.9285,3.6050385
6,59822.92114226852,2686.8115000000003,3.5905340000000003
7,59822.921433668984,2678.432,3.5990515000000003
8,59822.92173055556,2673.702,3.6010685000000002
9,59822.92202733796,2693.764,3.603592
10,59822.92232344907,2690.792,3.6136045
11,59822.92261216435,2697.202,3.6163835
12,59822.92290071759,2690.83,3.6077485000000005
13,59822.92319530093,2701.9215,3.598935
14,59822.92349224537,2697.456,3.6152895000000003
15,59822.923787858796,2700.1045,3.5983899999999998
16,59822.924085439816,2680.5665,3.606715
17,59822.924381770834,2696.142,3.5996375
18,59822.92467201389,2693.3959999999997,3.605548
19,59822.92496818287,2674.285,3.6191094999999995
20,59822.92525579861,2705.2174999999997,3.6267595
21,59822.92554204861,2708.986,3.623301
22,59822.92582855324,2687.1845000000003,3.6353445
23,59822.92611486111,2705.575,3.6354415
24,59822.92640118056,2692.1994999999997,3.6364195
25,59822.92668708333,2695.9615000000003,3.614317
26,59822.92697344907,2681.2155,3.623416
27,59822.92726011574,2692.94,3.6294695
28,59822.92754657407,2702.8765,3.626267
29,59822.92783325232,2690.173,3.6148955000000003
30,59822.928119351855,2691.603,3.616651
31,59822.92840601852,2696.5155,3.618127
32,59822.92869494213,2691.6595,3.6131775
33,59822.928990162036,2700.394,3.6184555000000005
34,59822.929285983795,2698.0505000000003,3.6071485
35,59822.929582766206,2700.6055,3.6058259999999995
36,59822.92987925926,2699.4494999999997,3.6154165
37,59822.930175775466,2711.719,3.7213994999999995
38,59822.930473148146,2686.5305,3.6313415
39,59822.930770625,2568.7740000000003,3.6065885
40,59822.93106791667,2698.5315,3.6083055
41,59822.93135688658,2724.3689999999997,3.6277925000000004
42,59822.93164650463,2702.7425,3.6209915
43,59822.93194105324,2695.1040000000003,3.6209569999999998
44,59822.9322353125,2700.7465,3.6135585
45,59822.93253116898,2709.0060000000003,3.603568
46,59822.93282380787,2704.6345,3.5987780000000003
47,59822.933119560184,2698.4895,3.5951975
48,59822.933414467596,2715.19,3.6094340000000003
49,59822.93370997685,2689.776,3.6015985
50,59822.9340078125,2706.8285,3.6070770000000003
51,59822.934304270835,2713.183,3.6002549999999998
52,59822.934600092594,2703.1835,3.606312
53,59822.93489633102,2680.731,3.6062885000000002
54,59822.935192592595,2702.1855,3.596222
55,59822.9354893287,2697.5865000000003,3.5927990000000003
56,59822.93578599537,2700.0695,3.6119174999999997
57,59822.936077569444,2700.778,3.610322
58,59822.93637188657,2710.7475,3.6190640000000003
59,59822.93666638889,2698.4285,3.5972735
60,59822.93696103009,2698.5724999999998,3.6194265000000003
61,59822.937255046294,2714.3810000000003,3.603986
62,59822.93754820602,2685.3865,3.610664
63,59822.93784326389,2706.5785,3.6091585000000004
64,59822.93813824074,2700.2335,3.6144930000000004
65,59822.93843283565,2690.0555,3.601547
66,59822.93872829861,2708.1375,3.5947115
67,59822.9390227662,2676.6415,3.6107325
68,59822.93931736111,2701.6135,3.606172
69,59822.93961177083,2694.951,3.6142165
70,59822.939907002314,2689.435,3.6098019999999997
71,59822.94020099537,2707.668,3.624539
72,59822.94049487269,2683.5525000000002,3.6019150000000004
73,59822.94078931713,2695.2665,3.6227110000000002
74,59822.941083460646,2687.9395,3.615455
75,59822.94137768519,2684.669,3.6206375
76,59822.94167251157,2673.877,3.6134885
77,59822.9419678125,2685.986,3.6097349999999997
78,59822.94226255787,2705.951,3.6185375
79,59822.942557916664,2683.5615000000003,3.6001649999999996
80,59822.942851875,2710.1295,3.6051580000000003
81,59822.943145717596,2682.106,3.596877
82,59822.94344106482,2670.3959999999997,3.6183045
83,59822.94373288195,2685.808,3.6161505
84,59822.94402771991,2697.4205,3.6027709999999997
85,59822.94432210648,2700.0080000000003,3.6222345
86,59822.94461711805,2701.0785,3.6235644999999996
87,59822.94491133102,2707.252,3.615298
88,59822.945206006945,2703.7575,3.6016545
89,59822.94550134259,2686.971,3.624483
90,59822.94579506944,2681.8990000000003,3.611829
91,59822.94609025463,2713.5065,3.6022309999999997
92,59822.946384375,2713.084,3.6118585000000003
93,59822.94667434028,2699.75,3.6155209999999998
94,59822.94696912037,2686.7169999999996,3.6137475
95,59822.94726388889,2692.1745,3.6161454999999996
96,59822.94755819444,2692.45,3.6156635
97,59822.94785365741,2704.657,3.612133
98,59822.94814699074,2687.1575000000003,3.6172035
99,59822.94844040509,2690.7565,3.621734
100,59822.94873539352,2687.9155,3.6236305
101,59822.94902936342,2682.1115,3.6142195
102,59822.94932314815,2699.1639999999998,3.613292
103,59822.94961667824,2692.5099999999998,3.6072654999999996
104,59822.94991099537,2701.7865,3.6268485
105,59822.9502055787,2688.588,3.6138905
106,59822.95049991898,2673.201,3.6204815000000004
107,59822.95079519676,2690.3125,3.6222645
108,59822.951089675924,2669.4695,3.600616
109,59822.951384803244,2688.759,3.6047649999999996
110,59822.95167913195,2688.9895,3.6220194999999995
111,59822.9519733912,2680.448,3.6085955
112,59822.95226832176,2700.0145,3.616717
113,59822.95256355324,2681.947,3.6211534999999997
114,59822.952858240744,2677.1715,3.613149
115,59822.95315327546,2677.043,3.6093020000000005
116,59822.95344858796,2680.035,3.620461
117,59822.95374171296,2668.7665,3.6292234999999997
118,59822.954036400464,2677.459,3.621233
119,59822.95433060185,2691.9665,3.6243814999999997
120,59822.95462525463,2683.7365,3.6232149999999996
121,59822.95492037037,2669.779,3.6116415
122,59822.95521517361,2669.7665,3.6179769999999998
123,59822.955509444444,2681.4645,3.6066595
124,59822.9558030787,2701.926,3.6313315000000004
125,59822.95609707176,2701.8565,3.620254
126,59822.956391377316,2679.4235,3.620482
127,59822.95668329861,2659.8849999999998,3.6270344999999997
128,59822.9569777662,2680.6345,3.610777
129,59822.95727306713,2691.484,3.623963
130,59822.95756721065,2704.5215,3.6203985000000003
131,59822.957860648145,2695.566,3.622385
132,59822.95815412037,2693.129,3.616696
133,59822.95844834491,2683.064,3.6181475
134,59822.95874304398,2702.202,3.621501
135,59822.95903775463,2711.035,3.6320664999999996
136,59822.95933171296,2677.891,3.630238
137,59822.95962439815,2701.6875,3.62187
138,59822.959920104164,2689.322,3.6155389999999996
139,59822.96021517361,2681.8775,3.633632
140,59822.960509930555,2691.2205000000004,3.6204445
141,59822.96080574074,2690.482,3.6165445
142,59822.961101203706,2693.502,3.6296145
143,59822.96139568287,2688.941,3.6261479999999997
144,59822.96169060185,2684.07,3.6128210000000003
145,59822.96198508102,2699.433,3.6059165
146,59822.96227984954,2687.5555,3.6250410000000004
147,59822.96257474537,2681.608,3.6143140000000002
148,59822.96286965278,2687.761,3.6201459999999996
149,59822.96316407408,2692.6580000000004,3.605389
150,59822.96345821759,2681.966,3.61721
151,59822.96375270833,2690.299,3.640458
152,59822.96404738426,2694.5985,3.617975
153,59822.96434233796,2680.4465,3.6158810000000003
154,59822.96463578704,2688.179,3.6193115
155,59822.96493028935,2694.638,3.6121025
156,59822.96522519676,2716.4995,3.6166964999999998
157,59822.96551952546,2696.9365000000003,3.616529
158,59822.965814456016,2688.7145,3.6367095
159,59822.9661091088,2692.844,3.6307035
160,59822.96640416667,2695.4075000000003,3.6219900000000003
161,59822.96669875,2681.7400000000002,3.6155470000000003
162,59822.96699422454,2695.3095000000003,3.6117274999999998
163,59822.96728907408,2693.7715,3.6167775
164,59822.96758491898,2678.5355,3.6075155000000003
165,59822.967880648146,2701.88,3.6106685
166,59822.968175208334,2688.5945,3.6229725000000004
167,59822.968470023145,2698.656,3.6159264999999996
168,59822.96876393518,2691.5515,3.6211455
169,59822.96905681713,2695.1544999999996,3.611821
170,59822.969350810185,2694.2615,3.6213545000000003
171,59822.9696447338,2698.973,3.6076045
172,59822.969938194445,2688.7985,3.6055945
173,59822.970232604166,2700.1125,3.6128565000000004
174,59822.97052674768,2702.9970000000003,3.6146485
175,59822.97082119213,2699.605,3.6211075
176,59822.971115671295,2691.013,3.621085
177,59822.97140859954,2705.447,3.624051
178,59822.97170248842,2683.448,3.613854
179,59822.97199667824,2679.817,3.620348
180,59822.9722908912,2678.8885,3.6197635
181,59822.97258541667,2700.31,3.616348
182,59822.972880775465,2698.5455,3.6164340000000004
183,59822.97317439815,2698.302,3.6172385
184,59822.97346898148,2693.5425,3.6170275
185,59822.97376392361,2701.504,3.6317115
186,59822.97405060185,2700.893,3.6350655000000005
187,59822.97434364583,2687.7525,3.6295325
