,Obs time,Flux,Flux error
0,59822.91550269676,779.763,3.703974
1,59822.91607491898,619.5635,3.606238
2,59822.919972407406,624.766,3.6201285
3,59822.92026133102,626.2335,3.598629
4,59822.92055792824,624.6605,3.604645
5,59822.9208528125,634.7175,3.6068759999999997
6,59822.92114226852,612.0550000000001,3.6033475000000004
7,59822.921433668984,621.283,3.599969
8,59822.92173055556,623.9775,3.6074800000000002
9,59822.92202733796,624.437,3.6045095000000003
10,59822.92232344907,622.134,3.6182035
11,59822.92261216435,633.264,3.6163835
12,59822.92290071759,628.606,3.6086665000000004
13,59822.92319530093,627.587,3.598935
14,59822.92349224537,631.8720000000001,3.605177
15,59822.923787858796,638.036,3.607549
16,59822.924085439816,628.9645,3.6131395
17,59822.924381770834,628.9885,3.5968885
18,59822.92467201389,626.3885,3.5899729999999996
19,59822.92496818287,641.5765,3.6264695000000002
20,59822.92525579861,630.0865,3.630451
21,59822.92554204861,632.0645000000001,3.6251489999999995
22,59822.92582855324,627.3729999999999,3.6362704999999997
23,59822.92611486111,630.047,3.6345155
24,59822.92640118056,629.699,3.6317995000000005
25,59822.92668708333,622.9024999999999,3.614317
26,59822.92697344907,612.5930000000001,3.62803
27,59822.92726011574,627.4979999999999,3.6294695
28,59822.92754657407,630.8925,3.6345745000000003
29,59822.92783325232,628.4565,3.6139755
30,59822.928119351855,628.3705,3.614807
31,59822.92840601852,616.827,3.6107660000000004
32,59822.92869494213,628.5135,3.617781
33,59822.928990162036,618.954,3.6138559999999997
34,59822.929285983795,626.1515,3.6071485
35,59822.929582766206,629.835,3.604907
36,59822.92987925926,624.8135,3.6163385
37,59822.930175775466,629.6225000000001,3.7119375
38,59822.930473148146,626.7015,3.6433705000000005
39,59822.930770625,594.476,3.6102705
40,59822.93106791667,619.5355,3.610143
41,59822.93135688658,630.8705,3.6204115000000003
42,59822.93164650463,633.5715,3.625607
43,59822.93194105324,629.3815,3.6145180000000003
44,59822.9322353125,621.3055,3.6126385
45,59822.93253116898,625.152,3.604486
46,59822.93282380787,635.0665,3.605192
47,59822.933119560184,627.5409999999999,3.5988680000000004
48,59822.933414467596,633.3585,3.6011800000000003
49,59822.93370997685,626.972,3.602516
50,59822.9340078125,635.2135000000001,3.6015715
51,59822.934304270835,623.054,3.6011724999999997
52,59822.934600092594,634.0105,3.612733
53,59822.93489633102,634.133,3.6062885000000002
54,59822.935192592595,633.76,3.5925655
55,59822.9354893287,637.4449999999999,3.6028770000000003
56,59822.93578599537,637.6925,3.6100769999999995
57,59822.936077569444,628.8205,3.611242
58,59822.93637188657,635.7435,3.6153845
59,59822.93666638889,633.458,3.6027695
60,59822.93696103009,629.6665,3.608403
61,59822.937255046294,631.63,3.604904
62,59822.93754820602,634.1305,3.6198535
63,59822.93784326389,636.9515,3.6137639999999998
64,59822.93813824074,635.8199999999999,3.6135725
65,59822.93843283565,625.903,3.607047
66,59822.93872829861,630.4635000000001,3.5873865
67,59822.9390227662,630.08,3.6024415
68,59822.93931736111,637.4165,3.5997435
69,59822.93961177083,633.4665,3.6197305
70,59822.939907002314,635.745,3.6107210000000003
71,59822.94020099537,624.6825,3.6153375
72,59822.94049487269,627.573,3.6019150000000004
73,59822.94078931713,628.0445,3.6190275
74,59822.941083460646,635.1805,3.6136155000000003
75,59822.94137768519,629.509,3.6197155000000003
76,59822.94167251157,622.793,3.6098104999999996
77,59822.9419678125,636.331,3.6051375
78,59822.94226255787,635.6535,3.6148545
79,59822.942557916664,626.61,3.602001
80,59822.942851875,629.8125,3.606996
81,59822.943145717596,630.254,3.5977939999999995
82,59822.94344106482,632.4390000000001,3.6109465
83,59822.94373288195,625.299,3.612462
84,59822.94402771991,635.75,3.600934
85,59822.94432210648,626.601,3.6213155
86,59822.94461711805,620.4395000000001,3.6180394999999996
87,59822.94491133102,627.3255,3.614377
88,59822.945206006945,633.5055,3.6053314999999997
89,59822.94550134259,633.17,3.6272534999999997
90,59822.94579506944,638.1479999999999,3.6155164999999996
91,59822.94609025463,635.0475,3.6040664999999996
92,59822.946384375,630.161,3.6137015
93,59822.94667434028,620.8325,3.6118409999999996
94,59822.94696912037,628.2805000000001,3.6073180000000002
95,59822.94726388889,631.9835,3.6235104999999996
96,59822.94755819444,634.4455,3.610148
97,59822.94785365741,626.592,3.6148964999999995
98,59822.94814699074,633.346,3.6190480000000003
99,59822.94844040509,626.3135,3.620812
100,59822.94873539352,623.21,3.6181025
101,59822.94902936342,634.9855,3.613299
102,59822.94932314815,633.702,3.6215825
103,59822.94961667824,643.7439999999999,3.608185
104,59822.94991099537,633.8770000000001,3.6231515
105,59822.9502055787,631.521,3.611132
106,59822.95049991898,633.4359999999999,3.6112900000000003
107,59822.95079519676,632.5899999999999,3.6241095000000003
108,59822.951089675924,628.3505,3.6015355
109,59822.951384803244,637.7315,3.6029294999999997
110,59822.95167913195,630.8375,3.6238639999999998
111,59822.9519733912,632.986,3.6085955
112,59822.95226832176,627.136,3.621332
113,59822.95256355324,647.4525,3.6202289999999997
114,59822.952858240744,625.3225,3.608547
115,59822.95315327546,626.3689999999999,3.611141
116,59822.95344858796,627.682,3.624142
117,59822.95374171296,626.272,3.6227725
118,59822.954036400464,631.483,3.6193959999999996
119,59822.95433060185,634.644,3.6317630000000003
120,59822.95462525463,624.6175000000001,3.6186095000000003
121,59822.95492037037,635.638,3.6079524999999997
122,59822.95521517361,631.9404999999999,3.6198205000000003
123,59822.955509444444,626.966,3.6038995
124,59822.9558030787,629.45,3.6239579999999996
125,59822.95609707176,632.393,3.6193334999999998
126,59822.956391377316,633.7185000000001,3.6223295
127,59822.95668329861,622.667,3.6288845000000003
128,59822.9569777662,631.1175000000001,3.6098585
129,59822.95727306713,629.5105,3.6304220000000003
130,59822.95756721065,632.611,3.6213205000000004
131,59822.957860648145,637.5229999999999,3.6233065000000004
